iter	Logloss
0	0.6529828585
1	0.6238153898
2	0.5977584643
3	0.5747735439
4	0.5665407914
5	0.5492822696
6	0.5376021556
7	0.5224807935
8	0.5076858325
9	0.4944665371
10	0.4845941006
11	0.4747851934
12	0.4663578425
13	0.4602738894
14	0.4559437678
15	0.4529870351
16	0.4507425259
17	0.445589897
18	0.4424604758
19	0.4383226052
20	0.4358526377
21	0.4341075604
22	0.431361174
23	0.4298187647
24	0.4274512071
25	0.4251235082
26	0.4225851695
27	0.4194588294
28	0.417294918
29	0.4172780942
30	0.4160897671
31	0.4141259805
32	0.4129484617
33	0.4117933909
34	0.4099796246
35	0.4091782937
36	0.4089868008
37	0.4075590525
38	0.4050197112
39	0.404257432
40	0.4026210981
41	0.4019711812
42	0.4005623842
43	0.3994130355
44	0.3985361442
45	0.3980064637
46	0.3968143463
47	0.3960193243
48	0.3947900625
49	0.3947211779
50	0.3937760378
51	0.3934553342
52	0.3931514544
53	0.3924340468
54	0.3918713301
55	0.3912190657
56	0.3895728772
57	0.3886645146
58	0.3881328289
59	0.3869576332
60	0.3864899171
61	0.3852264698
62	0.384234404
63	0.3839274431
64	0.3827820313
65	0.3819941252
66	0.3810098599
67	0.3803146558
68	0.3797431848
69	0.3796227528
70	0.3786015633
71	0.3775078456
72	0.3772205695
73	0.3767506771
74	0.3763938806
75	0.3761321826
76	0.3761323293
77	0.3754905309
78	0.374078555
79	0.3729119912
80	0.3724437371
81	0.3719270168
82	0.371365376
83	0.37092292
84	0.3703258955
85	0.3699348645
86	0.3697001628
87	0.3691735145
88	0.3688305097
89	0.3683461898
90	0.3673830032
91	0.3670657231
92	0.3663912553
93	0.3651075119
94	0.3648268626
95	0.3643961197
