iter	Passed	Remaining
0	0	83
1	1	80
2	2	85
3	3	80
4	4	78
5	4	75
6	5	70
7	5	68
8	6	68
9	7	67
10	8	68
11	9	68
12	10	68
13	11	69
14	12	68
15	12	67
16	13	65
17	14	65
18	15	64
19	16	65
20	17	65
21	18	64
22	19	64
23	19	62
24	20	61
25	21	61
26	22	61
27	23	60
28	24	59
29	24	57
30	25	56
31	26	56
32	27	55
33	28	55
34	29	55
35	30	54
36	30	52
37	31	52
38	32	51
39	33	50
40	34	50
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	54	33
62	54	32
63	56	31
64	57	30
65	58	29
66	59	29
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	18
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	7
92	82	6
93	83	5
94	84	4
95	84	3
