model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
catboost,1,2.451550835,353,0.4394408758675779,0.44011580064800515,0.7439515753798192,0.7401517292200513
catboost,2,1.822953831,222,0.4414749404371672,0.4413182950197806,0.7426760675199858,0.7393662744132148
catboost,3,4.268797383,215,0.4430844928476615,0.442577066766876,0.7414825212646509,0.738668224275296
catboost,4,2.432735564,615,0.4375746005169358,0.43849817461924673,0.744984425991131,0.7411981035478566
catboost,5,1.869739036,262,0.4406573926884415,0.4425524874967049,0.7429920547656654,0.7381182934909217
catboost,6,2.275381901,372,0.43871387202208595,0.43829159188366584,0.7445081393936237,0.7413754926815322
catboost,7,1.681704941,384,0.4414833244026963,0.4423820536964053,0.7425256924864109,0.7387000991683773
catboost,8,6.05449228,279,0.43793489566325045,0.4378407891298144,0.7449827365654462,0.7415131181772338
catboost,9,2.505455769,261,0.4394276394520592,0.4404482622216803,0.7440610962431238,0.7402199273540626
catboost,10,1.973177084,392,0.43983102016748377,0.44047521279209506,0.7433314478457277,0.739652380962974
catboost,11,2.644693389,326,0.438020041589059,0.4388218581961863,0.7447185326445761,0.7408961192897212
catboost,12,5.113260011,288,0.4399659507081051,0.4415521412642185,0.7438428328955009,0.7391690960142707
catboost,13,1.919058063,381,0.4402963235772675,0.4413756823367084,0.7432523316254506,0.7394591548532152
catboost,14,1.983140396,280,0.44139534810686565,0.4430800046194828,0.7426300501396633,0.7382889095350728
catboost,15,2.095623039,281,0.43997651744943417,0.4410769841631771,0.74359288418686,0.7397526266893417
catboost,16,2.287800592,494,0.4386458045400728,0.4394754004090549,0.744363288395131,0.7405578943544371
