model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
neurotree,1,98.149569239,42,0.4482421758048554,0.4477201165506546,0.7381750860806594,0.7346809296692667
neurotree,2,133.636403608,62,0.4437499610763788,0.4441801926031087,0.7408631635899784,0.7369466132035916
neurotree,3,137.038479255,52,0.4473736754663071,0.44734024895673485,0.7388468284714791,0.7351503474541107
neurotree,4,102.162683306,64,0.44108968356819045,0.4420233254133852,0.742115822416057,0.7382752158707907
neurotree,5,113.20659123,41,0.4490974470134018,0.44841640666314225,0.7377699352186284,0.7342605698376234
neurotree,6,35.735505329,55,0.44433847311466484,0.4444208023680032,0.7406094025778668,0.7369146638827967
neurotree,7,23.428552879,54,0.4448735102290531,0.44458566570149827,0.740667317927413,0.7371595210919678
neurotree,8,408.178462883,40,0.45220949210476075,0.45277681042052575,0.7358617048238464,0.7323891059829902
neurotree,9,124.130516059,62,0.4443830298142381,0.4441847164770039,0.7405021028255008,0.7370655167672248
neurotree,10,23.439033375,55,0.44564832053896375,0.44593642928369015,0.7401194171000833,0.7361184603173854
neurotree,11,226.932554271,43,0.44919477224818116,0.4486910782714444,0.7376099536711833,0.7342046279986145
neurotree,12,162.314348965,60,0.44448973373936607,0.44527294266124723,0.7414430234628133,0.7368846455188459
neurotree,13,38.117797633,56,0.44280453931652825,0.4433568099392869,0.7415636576274119,0.7375342365647584
neurotree,14,65.651639635,45,0.448283567766405,0.44820358887084516,0.7383472823280451,0.7345396682480019
neurotree,15,51.328912749,45,0.44969612242932944,0.4491677278239933,0.7384652030903509,0.7347953111099779
neurotree,16,34.002028417,60,0.4441194839386684,0.44469527439041634,0.7403807248611805,0.7366822130771782
