model_type,train_time,mse,gini,eval_metric,best_nround,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,0.162819329,16.100631346752248,0.9414365014893042,RMSE,97,8,0.1,0.5,RMSE,0.3,500,5,1
catboost,0.041160484,17.483513854164816,0.9333942594096941,RMSE,83,5,0.1,0.5,RMSE,0.6,500,5,1
catboost,1.737557127,20.34240651861012,0.9461955050094775,RMSE,266,11,0.1,0.5,RMSE,0.6,500,5,10
catboost,0.644868523,18.514612999765507,0.9410167885188196,RMSE,95,11,0.1,0.5,RMSE,0.9,500,5,1
catboost,0.080050847,20.677249573050226,0.9333739507175738,RMSE,174,5,0.1,0.9,RMSE,0.6,500,5,10
catboost,0.086628295,17.525419466904058,0.9439344706200922,RMSE,210,5,0.1,0.5,RMSE,0.9,500,5,10
catboost,0.092888915,18.99979437533304,0.9301584077985376,RMSE,61,8,0.1,0.9,RMSE,0.3,500,5,0
catboost,0.082655819,18.241486886484836,0.9330490116436502,RMSE,187,5,0.1,0.9,RMSE,0.3,500,5,10
catboost,0.564798896,18.41131739033787,0.9395613322502032,RMSE,86,11,0.1,0.5,RMSE,0.3,500,5,1
catboost,0.610079262,22.70033554489031,0.931783103168156,RMSE,59,11,0.1,0.9,RMSE,0.9,500,5,0
catboost,1.599297686,22.461938337366107,0.9368467370701324,RMSE,167,11,0.1,0.9,RMSE,0.9,500,5,10
catboost,0.605430025,17.070824410445812,0.9553750338478204,RMSE,88,11,0.1,0.5,RMSE,0.9,500,5,0
catboost,0.53968992,20.942452412793102,0.9377200108313025,RMSE,78,11,0.1,0.5,RMSE,0.6,500,5,1
catboost,0.411161288,16.157331895462097,0.9410574059030601,RMSE,60,11,0.1,0.5,RMSE,0.3,500,5,0
catboost,0.088486903,19.65208387625591,0.9293392905496886,RMSE,59,8,0.1,0.9,RMSE,0.9,500,5,0
catboost,0.141511364,21.285699085543595,0.9255212564310861,RMSE,94,8,0.1,0.9,RMSE,0.6,500,5,1
