model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
catboost,1,0.272716511,319,0.08385769350533409,0.19730178752931204,0.9492329561188131,0.945423774708909
catboost,2,0.108553242,139,0.08634846940601737,0.209541945185121,0.9446473075005997,0.9337327376116978
catboost,3,0.393226541,183,0.09014027437740904,0.20558698710187093,0.9480440842548317,0.9420660709450314
catboost,4,0.175357517,329,0.08038822169811789,0.2328428241414669,0.9411914563680331,0.9330490116436507
catboost,5,0.16802175,237,0.081004282821916,0.202208152926517,0.9486052908490086,0.9316680205794752
catboost,6,0.153157438,184,0.08105343712939535,0.18176928241894846,0.94579187358083,0.9415515840779857
catboost,7,0.147800783,265,0.08515373000880473,0.1937369665761251,0.9460503239860432,0.9399945843487687
catboost,8,0.962754756,486,0.09399982560432421,0.24027258868335188,0.9474311875796119,0.9402721364744109
catboost,9,0.151495197,164,0.09480175900480559,0.2054482538208523,0.942926766231608,0.9370295152992153
catboost,10,0.218707869,409,0.08014243865989877,0.22424503119454467,0.9467592165260571,0.9365421066883293
catboost,11,0.160831868,236,0.07914815513758197,0.19432617736977162,0.952061141981576,0.9454982399133494
catboost,12,0.779028658,446,0.08163348234935493,0.2284330276332859,0.9445586959330978,0.9400622799891689
catboost,13,0.075078901,220,0.09135160171500285,0.215608498471888,0.9383632705052701,0.9337395071757382
catboost,14,0.138378498,190,0.08461910103042171,0.2050914161490299,0.9444922372574717,0.9334822637422154
catboost,15,0.090135571,162,0.0907418911057698,0.1567880722517358,0.9401576547471797,0.9455117790414304
catboost,16,0.081792841,239,0.08844650957256116,0.17737055179987385,0.9368716424523246,0.9384511237476313
