model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
neurotrees,1,2.232012484,121,0.07434084302278281,0.20391153942022397,0.9546234931418335,0.9486325480639052
neurotrees,2,3.416382684,138,0.06578788871528209,0.1958462462585352,0.9612693607044616,0.9494584348767943
neurotrees,3,3.529006561,141,0.0628862190410055,0.20766701501856327,0.9584780963281576,0.9443948009748179
neurotrees,4,3.228529888,100,0.0820070256065816,0.21180619553400268,0.9531170964943046,0.9386406715407531
neurotrees,5,3.034454682,144,0.07076725755756987,0.26018601433769295,0.9499640015507023,0.9407324668291368
neurotrees,6,1.850096104,94,0.09110827170425442,0.22524022953275682,0.9477117908767004,0.9388031410777152
neurotrees,7,1.957369499,119,0.07181737216998331,0.1865941991577976,0.9551551625468436,0.9431424316274033
neurotrees,8,2.007870731,110,0.0739283386539345,0.2015629934494589,0.9578208938691868,0.9410641754671005
neurotrees,9,2.983445494,148,0.06501850615540235,0.2442850281370011,0.9535010799534785,0.9405496886000547
neurotrees,10,1.990758421,101,0.09225782168047139,0.28576207837401185,0.9396555225313367,0.9335973463308971
neurotrees,11,1.927281793,122,0.07754995085449141,0.25381814933979213,0.9488932784433896,0.9396696452748448
neurotrees,12,1.796193522,154,0.06796214101724248,0.2598366485667236,0.9490188114973505,0.9423910100189553
neurotrees,13,1.854160749,144,0.06849307465675718,0.19183792140526795,0.9532869353320158,0.9450311399945847
neurotrees,14,1.905549498,119,0.07067186878525934,0.19030622343382053,0.9566763277889566,0.9391551584077988
neurotrees,15,2.971038527,172,0.05835231323206515,0.2402030564706441,0.9547047204120431,0.9415109666937455
neurotrees,16,3.193666044,156,0.05764776330531517,0.20548495975871264,0.9590319186250432,0.9477051177904149
