model_type,train_time,best_nround,mse,gini,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,0.048991261,139,14.435711605258305,0.9400825886812889,RMSE,4,0.1,0.5,RMSE,0.3,1000,10,1
catboost,0.75931032,193,21.98253161139454,0.9289737340915241,RMSE,10,0.1,0.9,RMSE,0.6,1000,10,1
catboost,0.08039919,248,16.633919231282444,0.945897644191714,RMSE,4,0.1,0.5,RMSE,0.6,1000,10,10
catboost,0.551730144,139,21.159102928596074,0.9322975900352017,RMSE,10,0.1,0.9,RMSE,0.3,1000,10,1
catboost,0.102297101,172,19.955729390454533,0.9290888166802059,RMSE,6,0.1,0.9,RMSE,0.9,1000,10,1
catboost,0.880661606,232,23.308365586886044,0.9312212293528295,RMSE,10,0.1,0.9,RMSE,0.9,1000,10,1
catboost,0.043049246,85,16.35669951400226,0.9359396154887626,RMSE,4,0.1,0.9,RMSE,0.6,1000,10,1
catboost,0.123173127,245,16.09122061891061,0.947596804765773,RMSE,6,0.1,0.5,RMSE,0.3,1000,10,10
catboost,0.076333272,210,18.94004374806956,0.9434199837530465,RMSE,4,0.1,0.9,RMSE,0.9,1000,10,10
catboost,0.035886151,85,14.04556891372939,0.9497698348226373,RMSE,4,0.1,0.5,RMSE,0.6,1000,10,0
catboost,0.054394357,125,19.30783589866857,0.9376116978066615,RMSE,4,0.1,0.9,RMSE,0.9,1000,10,0
catboost,0.411330466,133,20.749779919514257,0.9316138640671541,RMSE,10,0.1,0.5,RMSE,0.3,1000,10,0
catboost,0.759145635,268,19.406298683813606,0.9385255889520716,RMSE,10,0.1,0.5,RMSE,0.3,1000,10,10
catboost,0.265109967,244,16.764766787064865,0.9421879230977526,RMSE,8,0.1,0.5,RMSE,0.3,1000,10,10
catboost,0.034814925,78,13.824463021836829,0.9505957216355266,RMSE,4,0.1,0.5,RMSE,0.6,1000,10,1
catboost,0.1087029,323,20.403774523991583,0.9376116978066618,RMSE,4,0.1,0.9,RMSE,0.9,1000,10,1
