model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,1.184564683,177,20.725991631269423,0.9329745464392095,0,0,binary,mse,9,0,1,0.05,0.6,128,1000,mse,0.4,10
evotrees,0.283123116,332,21.899787786347886,0.9306796642296239,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,mse,1.0,10
evotrees,2.637256248,296,23.524878077613632,0.9288383428107232,0,10,binary,mse,11,0,1,0.05,0.4,128,1000,mse,1.0,10
evotrees,1.919160394,157,25.409472391241636,0.930875981586786,0,1,binary,mse,11,0,1,0.05,1.0,128,1000,mse,0.8,10
evotrees,0.116997455,151,17.465905097851486,0.946154887625237,0,0,binary,mse,5,0,1,0.05,0.8,128,1000,mse,0.4,10
evotrees,0.092179644,142,22.20640720879991,0.9365217979962094,0,0,binary,mse,5,0,1,0.05,0.4,128,1000,mse,0.6,10
evotrees,0.086361643,129,20.738048682901898,0.9358109937720014,0,1,binary,mse,5,0,1,0.05,0.6,128,1000,mse,0.6,10
evotrees,0.160057054,101,22.730797226931426,0.9327646899539677,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,mse,0.6,10
evotrees,1.723909734,164,26.813705178990904,0.9153872190630925,0,10,binary,mse,11,0,1,0.05,0.8,128,1000,mse,1.0,10
evotrees,0.666614878,193,20.175346256163316,0.9419780666125102,0,10,binary,mse,9,0,1,0.05,0.8,128,1000,mse,0.4,10
evotrees,0.709981716,158,23.73429776907418,0.9304021121039807,0,1,binary,mse,9,0,1,0.05,0.8,128,1000,mse,0.8,10
evotrees,0.641115473,426,24.58798438201668,0.9307879772542651,0,10,binary,mse,7,0,1,0.05,1.0,128,1000,mse,0.8,10
evotrees,0.891640321,234,23.274036308547544,0.9324735987002438,0,10,binary,mse,9,0,1,0.05,0.8,128,1000,mse,0.8,10
evotrees,0.719872105,150,22.450951611443735,0.9284389385323587,0,0,binary,mse,9,0,1,0.05,0.8,128,1000,mse,1.0,10
evotrees,0.104771787,149,19.098589348114757,0.9433658272407257,0,1,binary,mse,5,0,1,0.05,0.4,128,1000,mse,0.4,10
evotrees,1.207732398,117,23.26636808345696,0.9335770376387761,0,10,binary,mse,11,0,1,0.05,0.4,128,1000,mse,0.4,10
