model_type,train_time,best_nround,mse,gini,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,lr,depth,stack_size
neurotrees,9.736952901,95,26.02841946600545,0.9152315190901706,16,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,4,1
neurotrees,9.553252094,92,28.27747815064964,0.8965136745193611,32,stack,mse,354,200,32,0.0,mse,gpu,2,0.03,5,1
neurotrees,10.337036206,100,31.312467632679894,0.8905023016517739,32,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,4,1
neurotrees,9.554879523,91,24.439344053448274,0.9143243975088005,64,stack,mse,354,200,32,0.0,mse,gpu,2,0.03,5,1
neurotrees,9.244943724,91,26.124262565983294,0.9136677497969132,16,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,3,1
neurotrees,10.802834955,105,27.544552246775808,0.9019970213918225,32,stack,mse,354,200,8,0.0,mse,gpu,2,0.03,5,1
neurotrees,11.326166551,112,24.519591842911026,0.917925805578121,32,stack,mse,354,200,32,0.0,mse,gpu,2,0.03,3,1
neurotrees,10.289723594,101,23.434951777783066,0.9135932845924725,64,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,4,1
neurotrees,11.738332319,115,28.412974334238367,0.9042512862171675,32,stack,mse,354,200,8,0.0,mse,gpu,2,0.03,3,1
neurotrees,7.129160151,70,32.49681548010782,0.8923030056864335,32,stack,mse,354,200,32,0.0,mse,gpu,2,0.03,4,1
neurotrees,4.985821212,47,30.919300381070013,0.8958434876793933,16,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,5,1
neurotrees,9.64792433,96,30.33760243221433,0.8970958570268077,16,stack,mse,354,200,8,0.0,mse,gpu,2,0.03,3,1
neurotrees,10.275615457,99,29.364738319671165,0.8940834010289738,32,stack,mse,354,200,8,0.0,mse,gpu,2,0.03,4,1
neurotrees,10.750914401,105,28.929123516766754,0.894381261846737,64,stack,mse,354,200,8,0.0,mse,gpu,2,0.03,5,1
neurotrees,15.077997538,151,28.344704120387316,0.8952883834281075,32,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,3,1
neurotrees,8.196052898,81,26.99481337867344,0.903405090712158,32,stack,mse,354,200,16,0.0,mse,gpu,2,0.03,5,1
