model_type,train_time,best_nround,mse,gini,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.060560308,254,16.391791280263334,0.9428174925534798,0,rmse,0.8,4,1,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.142774751,289,21.725697405869145,0.9422894665583538,0,rmse,0.4,8,1,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.084269463,319,19.09161066846905,0.9339899810452209,0,rmse,0.8,4,10,0.05,reg:squarederror,hist,0.6,1000,10,128
xgboost,0.096988129,151,24.09371962864213,0.9304291903601413,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.058664493,151,19.558382659115804,0.9238153262929869,0,rmse,1.0,6,1,0.05,reg:squarederror,hist,0.6,1000,10,128
xgboost,0.058440596,241,21.183689083700774,0.933651502843217,0,rmse,0.6,4,10,0.05,reg:squarederror,hist,0.4,1000,10,128
xgboost,0.05156993,145,20.51362657575813,0.9390062279989168,0,rmse,0.4,6,0,0.05,reg:squarederror,hist,0.4,1000,10,128
xgboost,0.169088473,311,22.52883108652665,0.9304630381803412,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,0.4,1000,10,128
xgboost,0.062169963,262,20.203761042886594,0.9407053885729759,0,rmse,0.4,4,10,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.095843559,153,16.867911397653028,0.9409084754941779,0,rmse,1.0,10,1,0.05,reg:squarederror,hist,0.4,1000,10,128
xgboost,0.100898433,134,19.079311677919936,0.9451529921473056,0,rmse,0.4,10,0,0.05,reg:squarederror,hist,0.6,1000,10,128
xgboost,0.099889128,235,16.45904439943336,0.9367993501218519,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.6,1000,10,128
xgboost,0.098711848,190,18.70420747227383,0.9319049553208772,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.6,1000,10,128
xgboost,0.07254275,300,19.29944204906619,0.9348835634985109,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.111727975,214,23.236429565150175,0.939723801787165,0,rmse,0.6,8,1,0.05,reg:squarederror,hist,1.0,1000,10,128
xgboost,0.102067012,232,23.345695117514513,0.9266517736257784,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.6,1000,10,128
