model_type,train_time,best_nround,mse,gini,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,0.278387174,395,6.978829778626697,0.9462644686075067,RMSE,6,0.05,0.5,RMSE,0.6,1000,10,10
catboost,1.127192104,283,8.899976246612429,0.9502002990640404,RMSE,10,0.05,0.5,RMSE,0.6,1000,10,1
catboost,3.849223054,756,7.439981509156631,0.9465229190127191,RMSE,10,0.05,0.9,RMSE,0.6,1000,10,10
catboost,0.186863826,227,6.735504344541854,0.9469069024718934,RMSE,6,0.05,0.5,RMSE,0.9,1000,10,1
catboost,0.164592207,438,7.696642626218437,0.9368273366685742,RMSE,4,0.05,0.5,RMSE,0.9,1000,10,10
catboost,0.604010247,311,7.319713010893694,0.9553028484926799,RMSE,8,0.05,0.9,RMSE,0.9,1000,10,0
catboost,0.233408579,288,6.957207732363671,0.9409699274492791,RMSE,6,0.05,0.9,RMSE,0.6,1000,10,1
catboost,0.470829592,247,6.936859553508983,0.9524525097380416,RMSE,8,0.05,0.5,RMSE,0.3,1000,10,1
catboost,1.069784642,577,6.430834882777028,0.9495283280104857,RMSE,8,0.05,0.9,RMSE,0.6,1000,10,10
catboost,0.179174384,198,6.633740183173177,0.9480514685521241,RMSE,6,0.05,0.9,RMSE,0.6,1000,10,0
catboost,0.194047029,273,6.811948995784127,0.9477634809577433,RMSE,6,0.05,0.9,RMSE,0.3,1000,10,1
catboost,0.174430935,180,7.1128424094801534,0.9465672247964704,RMSE,6,0.05,0.9,RMSE,0.9,1000,10,1
catboost,1.706986768,456,8.007154684164446,0.946744447931474,RMSE,10,0.05,0.5,RMSE,0.3,1000,10,10
catboost,2.684907827,519,7.718967136171401,0.9490778858756856,RMSE,10,0.05,0.9,RMSE,0.3,1000,10,10
catboost,2.899009999,756,7.786067836379411,0.9492698776052731,RMSE,10,0.05,0.5,RMSE,0.9,1000,10,10
catboost,0.978191076,257,8.8388921699974,0.9499861544425781,RMSE,10,0.05,0.5,RMSE,0.9,1000,10,1
