model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.160227592,229,7.410050907189694,0.934877882183537,0,0,binary,mse,5,0,1,0.05,0.8,128,1000,cred,1.0,10
evotrees,0.502003491,232,6.914818766911299,0.9409330059628203,0,0,binary,mse,9,0,1,0.05,0.8,128,1000,cred,0.6,10
evotrees,0.287643973,228,6.78188973799895,0.9479111669035797,0,10,binary,mse,7,0,1,0.05,1.0,128,1000,cred,0.4,10
evotrees,1.75565249,219,7.335682881111327,0.9370488655873286,0,1,binary,mse,11,0,1,0.05,1.0,128,1000,cred,0.6,10
evotrees,0.34653628,162,7.646526637574692,0.9392936919640388,0,1,binary,mse,9,0,1,0.05,0.6,128,1000,cred,1.0,10
evotrees,0.434675705,195,7.940724461118444,0.9267403865679631,0,0,binary,mse,7,0,1,0.05,1.0,128,1000,cred,1.0,10
evotrees,0.140614648,178,7.325009240744897,0.9438645719876685,0,1,binary,mse,7,0,1,0.05,0.4,128,1000,cred,0.6,10
evotrees,1.186467023,168,7.220476779055498,0.9386364895050676,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,cred,0.8,10
evotrees,0.15694035,216,7.17219939021214,0.9412209935572012,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,cred,0.8,10
evotrees,0.198054063,164,7.1140095776884165,0.9436356587716224,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,cred,0.6,10
evotrees,0.451377273,161,8.342363885596695,0.9282910889992437,0,1,binary,mse,9,0,1,0.05,1.0,128,1000,cred,0.8,10
evotrees,0.328400069,228,6.78188973799895,0.9479111669035797,0,1,binary,mse,7,0,1,0.05,1.0,128,1000,cred,0.4,10
evotrees,0.142721101,216,7.17219939021214,0.9412209935572012,0,0,binary,mse,5,0,1,0.05,0.6,128,1000,cred,0.8,10
evotrees,1.227790081,168,6.877492106164666,0.9418560431242966,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,cred,1.0,10
evotrees,0.568800445,232,6.914818766911299,0.9409330059628203,0,1,binary,mse,9,0,1,0.05,0.8,128,1000,cred,0.6,10
evotrees,0.090540916,208,6.794310718610464,0.9466115305802213,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,cred,0.4,10
