model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,1.075498516,152,6.897096880723588,0.9490040429027671,0,10,binary,mse,11,0,1,0.05,0.6,128,1000,credV1B,0.4,10
evotrees,1.189902186,156,6.530613090412398,0.9437538075282907,0,1,binary,mse,11,0,1,0.05,0.4,128,1000,credV1B,1.0,10
evotrees,1.440624464,172,7.645599372445932,0.9324853698609908,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,credV1B,0.8,10
evotrees,0.450760003,149,6.908564975177431,0.9409182373682371,0,0,binary,mse,9,0,1,0.05,0.6,128,1000,credV1B,1.0,10
evotrees,0.392873711,150,7.218315270732907,0.9374771548302542,0,1,binary,mse,9,0,1,0.05,0.8,128,1000,credV1B,0.6,10
evotrees,1.634220421,199,7.108233361345381,0.9354390887777143,0,10,binary,mse,11,0,1,0.05,0.8,128,1000,credV1B,0.6,10
evotrees,0.986751407,129,6.869253728067883,0.943739038933708,0,1,binary,mse,11,0,1,0.05,0.4,128,1000,credV1B,0.8,10
evotrees,0.107814884,151,6.800811324467477,0.945540807472909,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,credV1B,0.4,10
evotrees,0.325359419,152,7.174322359230723,0.9476601007956578,0,10,binary,mse,9,0,1,0.05,0.6,128,1000,credV1B,0.4,10
evotrees,0.139239185,159,7.377195286376711,0.939832745666341,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,credV1B,0.8,10
evotrees,0.140302259,161,7.358782194725358,0.9374402333437949,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,credV1B,1.0,10
evotrees,0.424014272,235,6.905289651268543,0.9460650925806271,0,1,binary,mse,7,0,1,0.05,1.0,128,1000,credV1B,0.4,10
evotrees,0.109671239,133,7.818323559069751,0.9377577581273426,0,0,binary,mse,5,0,1,0.05,0.4,128,1000,credV1B,0.8,10
evotrees,0.745801046,186,8.091641804083896,0.9264523989735829,0,10,binary,mse,9,0,1,0.05,1.0,128,1000,credV1B,1.0,10
evotrees,0.282293706,170,6.910556616533482,0.94048256382802,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,credV1B,0.8,10
evotrees,0.234264052,115,7.442992926289627,0.9383263490188116,0,1,binary,mse,9,0,1,0.05,0.4,128,1000,credV1B,0.6,10
