model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.674572691,167,8.502544848086872,0.9503775221990435,0,10,binary,mse,9,0,1,0.05,0.8,128,1000,credV2A,0.4,10
evotrees,1.425621895,160,6.013585248493145,0.9531097121970129,0,10,binary,mse,11,0,1,0.05,0.4,128,1000,credV2A,0.6,10
evotrees,0.185468015,271,7.436656478430507,0.9521866750355368,0,1,binary,mse,5,0,1,0.05,1.0,128,1000,credV2A,0.4,10
evotrees,0.582308582,266,7.568158047839236,0.9396481382340452,0,10,binary,mse,7,0,1,0.05,1.0,128,1000,credV2A,0.6,10
evotrees,2.839080159,266,6.607776890834445,0.941398216692204,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,credV2A,0.8,10
evotrees,0.150097405,153,8.302336003285586,0.9292879691336375,0,1,binary,mse,5,0,1,0.05,1.0,128,1000,credV2A,0.8,10
evotrees,2.032084644,150,7.515162356368253,0.9440861009064222,0,0,binary,mse,11,0,1,0.05,1.0,128,1000,credV2A,0.6,10
evotrees,1.631889141,151,6.7348576326919005,0.9381269729919329,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,credV2A,1.0,10
evotrees,2.351073313,184,8.426468481878796,0.9516402370359428,0,1,binary,mse,11,0,1,0.05,1.0,128,1000,credV2A,0.4,10
evotrees,2.834073184,233,10.101312366682174,0.9305137624840775,0,0,binary,mse,11,0,1,0.05,1.0,128,1000,credV2A,1.0,10
evotrees,0.189154771,201,6.9430096053687995,0.9461906256345878,0,1,binary,mse,5,0,1,0.05,0.4,128,1000,credV2A,0.4,10
evotrees,1.06135614,231,7.3228331411742715,0.944994369473315,0,1,binary,mse,9,0,1,0.05,1.0,128,1000,credV2A,0.6,10
evotrees,1.699307067,150,6.73655852440497,0.9429119976370247,0,1,binary,mse,11,0,1,0.05,0.6,128,1000,credV2A,0.8,10
evotrees,1.742744468,150,6.73655852440497,0.9429119976370247,0,0,binary,mse,11,0,1,0.05,0.6,128,1000,credV2A,0.8,10
evotrees,1.077884149,241,8.23106451924197,0.9459026380402072,0,10,binary,mse,9,0,1,0.05,1.0,128,1000,credV2A,0.4,10
evotrees,0.470891789,220,8.380956784303688,0.9464047702560505,0,10,binary,mse,7,0,1,0.05,0.8,128,1000,credV2A,0.4,10
