model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.4574017,156,6.5155362781623305,0.9468699809854343,0,0,binary,mse,9,1,1,0.05,0.6,128,1000,cred_std,0.8,10
evotrees,0.1794547,163,7.005088820955402,0.9379719027488047,0,0,binary,mse,7,1,1,0.05,0.6,128,1000,cred_std,0.6,10
evotrees,0.3465153,128,5.8630928209656785,0.948885894146098,0,0,binary,mse,9,0,1,0.05,0.4,128,1000,cred_std,0.6,10
evotrees,0.1561296,266,7.316676963977109,0.9407040927467738,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,cred_std,1.0,10
evotrees,0.1867683,226,6.753091170879488,0.9466484520666801,0,0,binary,mse,7,1,1,0.05,0.4,128,1000,cred_std,0.4,10
evotrees,0.1962848,138,8.006920376196085,0.9340434565895624,0,0,binary,mse,7,1,1,0.05,0.8,128,1000,cred_std,1.0,10
evotrees,1.2411408,152,6.890569056454535,0.9366944193173218,0,0,binary,mse,11,1,1,0.05,0.6,128,1000,cred_std,0.6,10
evotrees,1.6943518,174,8.341400078320088,0.9317395558345178,0,0,binary,mse,11,1,1,0.05,1.0,128,1000,cred_std,0.8,10
evotrees,0.1044104,171,6.653686826504127,0.9396629068286284,0,0,binary,mse,5,0,1,0.05,0.6,128,1000,cred_std,0.8,10
evotrees,0.5370305,191,6.562313279194302,0.9473204231202348,0,0,binary,mse,9,1,1,0.05,0.6,128,1000,cred_std,0.4,10
evotrees,0.8055865,228,7.738041404893054,0.9525854270892942,0,0,binary,mse,9,0,1,0.05,1.0,128,1000,cred_std,0.4,10
evotrees,0.2071867,152,7.995154140783587,0.932633055806827,0,0,binary,mse,7,1,1,0.05,1.0,128,1000,cred_std,0.8,10
evotrees,0.8149119,85,6.358247259606385,0.9483837619302548,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,cred_std,0.6,10
evotrees,1.6020912,161,8.785857466376997,0.9307352914028315,0,0,binary,mse,11,1,1,0.05,1.0,128,1000,cred_std,1.0,10
evotrees,0.6596759,174,8.451987700638208,0.9287489154313355,0,0,binary,mse,9,1,1,0.05,1.0,128,1000,cred_std,0.8,10
evotrees,0.2765353,115,6.619989733069399,0.9441820967712163,0,0,binary,mse,9,1,1,0.05,0.4,128,1000,cred_std,0.6,10
