model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.349370618,228,6.695069646246813,0.948597906551718,0,10,binary,mse,11,0,1,0.05,0.6,128,1000,cred_var,0.4,10
evotrees,0.232271811,142,5.953336685789023,0.9472022743635662,0,1,binary,mse,11,0,1,0.05,0.4,128,1000,cred_var,1.0,10
evotrees,0.344177279,165,7.214894574679599,0.9427569273938969,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,cred_var,0.8,10
evotrees,0.13334181,99,6.812091788814899,0.9394561465044584,0,0,binary,mse,9,0,1,0.05,0.6,128,1000,cred_var,1.0,10
evotrees,0.209659085,192,7.696464415935424,0.94240248112389,0,1,binary,mse,9,0,1,0.05,0.8,128,1000,cred_var,0.6,10
evotrees,0.38749697,222,7.173844550042404,0.9416197456109585,0,10,binary,mse,11,0,1,0.05,0.8,128,1000,cred_var,0.6,10
evotrees,0.190615635,111,6.393445321370731,0.9509313444959293,0,1,binary,mse,11,0,1,0.05,0.4,128,1000,cred_var,0.8,10
evotrees,0.113323323,144,8.107176801916557,0.936266130074397,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,cred_var,0.4,10
evotrees,0.20903634,232,6.6891303232109705,0.948915431335266,0,10,binary,mse,9,0,1,0.05,0.6,128,1000,cred_var,0.4,10
evotrees,0.095902135,172,7.49006362174664,0.93831896472152,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,cred_var,0.8,10
evotrees,0.126072162,228,6.509350176643123,0.9400247373959281,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,cred_var,1.0,10
evotrees,0.119461609,165,8.050876983025296,0.9482139230925436,0,1,binary,mse,7,0,1,0.05,1.0,128,1000,cred_var,0.4,10
evotrees,0.087164481,155,6.647485997100741,0.9443445513116361,0,0,binary,mse,5,0,1,0.05,0.4,128,1000,cred_var,0.8,10
evotrees,0.325291187,171,7.387350459714982,0.94040133655781,0,10,binary,mse,9,0,1,0.05,1.0,128,1000,cred_var,1.0,10
evotrees,0.145510167,193,6.994785397931122,0.9424837083940999,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,cred_var,0.8,10
evotrees,0.178894136,177,6.525819463906077,0.9450386752570658,0,1,binary,mse,9,0,1,0.05,0.4,128,1000,cred_var,0.6,10
