model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.147756328,149,6.403915005549585,0.9416566670974177,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,mae,0.8,10
evotrees,0.131091272,233,6.405271628731742,0.9435618157987044,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,mae,1.0,10
evotrees,1.124377685,474,6.475737037146576,0.9450386752570663,0,10,binary,mse,11,0,1,0.05,0.4,128,1000,mae,1.0,10
evotrees,0.548584077,217,6.448006566984733,0.9434658199339102,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,mae,0.8,10
evotrees,0.119221973,219,5.711012686211239,0.9517436171980281,0,1,binary,mse,5,0,1,0.05,0.8,128,1000,mae,0.8,10
evotrees,0.073853331,141,5.772877152723344,0.9532057080618065,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,mae,0.8,10
evotrees,0.388900984,462,6.250995861624102,0.9468847495800177,0,10,binary,mse,7,0,1,0.05,0.6,128,1000,mae,0.6,10
evotrees,0.093540934,213,7.238067540292642,0.9522088279274122,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,mae,0.4,10
evotrees,1.285823245,742,6.834709865083778,0.948826819767764,0,10,binary,mse,9,0,1,0.05,0.8,128,1000,mae,0.6,10
evotrees,0.804169204,299,7.299576910208773,0.9419151175026305,0,0,binary,mse,11,0,1,0.05,1.0,128,1000,mae,0.6,10
evotrees,0.578999867,125,9.596749984981468,0.9250567667854306,0,1,binary,mse,11,0,1,0.05,1.0,128,1000,mae,1.0,10
evotrees,1.404609222,617,6.6194437534473165,0.9432516753124479,0,10,binary,mse,11,0,1,0.05,0.6,128,1000,mae,1.0,10
evotrees,0.330796667,160,6.841868512869678,0.945075596743525,0,1,binary,mse,11,0,1,0.05,0.4,128,1000,mae,0.6,10
evotrees,0.26217953,158,6.156914617554641,0.9474238032823203,0,0,binary,mse,9,0,1,0.05,0.6,128,1000,mae,0.8,10
evotrees,0.181054209,122,6.994104804558354,0.9397884398825898,0,0,binary,mse,9,0,1,0.05,0.4,128,1000,mae,0.6,10
evotrees,0.131875491,140,6.761886057834413,0.9491074230648522,0,1,binary,mse,7,0,1,0.05,0.8,128,1000,mae,0.6,10
