model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.091690998,211,8.139067773943212,0.9348188078052025,0,0,oblivious,mse,5,0,1,0.05,0.8,128,1000,mse,1.0,10
evotrees,0.23319588,230,7.898509147476812,0.9422178736915953,0,0,oblivious,mse,9,0,1,0.05,0.8,128,1000,mse,0.6,10
evotrees,0.141940003,257,8.082270582462254,0.9372703945060825,0,10,oblivious,mse,7,0,1,0.05,1.0,128,1000,mse,0.4,10
evotrees,1.394904522,221,8.088894206344031,0.9393010762613302,0,1,oblivious,mse,11,0,1,0.05,1.0,128,1000,mse,0.6,10
evotrees,0.267120556,262,7.148044441869121,0.9416714356920008,0,1,oblivious,mse,9,0,1,0.05,0.6,128,1000,mse,1.0,10
evotrees,0.239801855,249,8.201219432795249,0.9415532869353322,0,0,oblivious,mse,7,0,1,0.05,1.0,128,1000,mse,1.0,10
evotrees,0.084743301,170,7.856935972587991,0.933437944211634,0,1,oblivious,mse,7,0,1,0.05,0.4,128,1000,mse,0.6,10
evotrees,1.031065763,165,7.990100184519408,0.9371596300467054,0,0,oblivious,mse,11,0,1,0.05,0.4,128,1000,mse,0.8,10
evotrees,0.158126577,301,7.563879833695805,0.9399804316121769,0,10,oblivious,mse,5,0,1,0.05,0.6,128,1000,mse,0.8,10
evotrees,0.111802047,178,7.737366162484206,0.9441599438793405,0,1,oblivious,mse,7,0,1,0.05,0.6,128,1000,mse,0.6,10
evotrees,0.253668682,234,8.043446444105953,0.9371817829385811,0,1,oblivious,mse,9,0,1,0.05,1.0,128,1000,mse,0.8,10
evotrees,0.248939039,318,7.612446735756877,0.9457106463106202,0,1,oblivious,mse,7,0,1,0.05,1.0,128,1000,mse,0.4,10
evotrees,0.135107738,275,7.0185472242709,0.9437168860418326,0,0,oblivious,mse,5,0,1,0.05,0.6,128,1000,mse,0.8,10
evotrees,1.009832879,149,8.894104864643452,0.9284609278369549,0,0,oblivious,mse,11,0,1,0.05,0.4,128,1000,mse,1.0,10
evotrees,0.307650956,304,7.908594401238911,0.9412652993409514,0,1,oblivious,mse,9,0,1,0.05,0.8,128,1000,mse,0.6,10
evotrees,0.093894446,203,8.361427265607148,0.9389835514777821,0,0,oblivious,mse,5,0,1,0.05,1.0,128,1000,mse,0.4,10
