model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.245481803,200,7.482306226474448,0.9328028946445384,0,0,binary,mse,5,0,1,0.05,0.8,128,1000,mse,1.0,10
evotrees,0.776362517,109,7.096116729912917,0.9411988406653256,0,0,binary,mse,9,0,1,0.05,0.8,128,1000,mse,0.6,10
evotrees,0.603741292,217,7.269032949842992,0.9387546382617367,0,10,binary,mse,7,0,1,0.05,1.0,128,1000,mse,0.4,10
evotrees,2.532029108,143,6.579660533361024,0.9518026915763627,0,1,binary,mse,11,0,1,0.05,1.0,128,1000,mse,0.6,10
evotrees,0.878083072,160,6.680741390685241,0.9403865679632265,0,1,binary,mse,9,0,1,0.05,0.6,128,1000,mse,1.0,10
evotrees,0.529930145,130,6.834251630971402,0.9405268696117709,0,0,binary,mse,7,0,1,0.05,1.0,128,1000,mse,1.0,10
evotrees,0.386691734,186,7.25650428532404,0.9349295722645796,0,1,binary,mse,7,0,1,0.05,0.4,128,1000,mse,0.6,10
evotrees,2.072602592,128,6.913995771681685,0.9455112702837418,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,mse,0.8,10
evotrees,0.269422039,243,7.727587097634514,0.9407853200169841,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,mse,0.8,10
evotrees,0.302377462,127,7.032991436711916,0.9450017537706069,0,1,binary,mse,7,0,1,0.05,0.6,128,1000,mse,0.6,10
evotrees,0.977773374,146,7.113797649255042,0.9392493861802882,0,1,binary,mse,9,0,1,0.05,1.0,128,1000,mse,0.8,10
evotrees,0.474787807,193,7.016800405825964,0.9434732042312025,0,1,binary,mse,7,0,1,0.05,1.0,128,1000,mse,0.4,10
evotrees,0.172117482,145,7.715030428362134,0.9283649319721616,0,0,binary,mse,5,0,1,0.05,0.6,128,1000,mse,0.8,10
evotrees,1.847773253,116,7.909491349973537,0.9353947829939638,0,0,binary,mse,11,0,1,0.05,0.4,128,1000,mse,1.0,10
evotrees,0.817841124,157,6.940506325050447,0.9434067455555759,0,1,binary,mse,9,0,1,0.05,0.8,128,1000,mse,0.6,10
evotrees,0.208607791,195,7.458355261303489,0.9362956672635644,0,0,binary,mse,5,0,1,0.05,1.0,128,1000,mse,0.4,10
