model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.50308309,269,25.52848650760046,0.9169577579203904,0,10,binary,mse,7,0,1,0.05,0.8,128,1000,mse,1.0,10
evotrees,0.098656503,110,22.775492601582428,0.9377335499593829,0,1,binary,mse,5,0,1,0.05,0.4,128,1000,mse,0.8,10
evotrees,0.508819134,164,26.005121801416045,0.9257784998646084,0,10,binary,mse,9,0,1,0.05,0.6,128,1000,mse,0.6,10
evotrees,0.288350446,144,30.02547164109396,0.9145681018142436,0,10,binary,mse,7,0,1,0.05,1.0,128,1000,mse,1.0,10
evotrees,0.401653065,132,18.667041083234448,0.9394936366098026,0,0,binary,mse,9,0,1,0.05,0.4,128,1000,mse,0.4,10
evotrees,1.500751006,146,23.33772544816763,0.9338004332520992,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,mse,0.6,10
evotrees,1.519992689,143,24.25686691713302,0.9353506634172759,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,mse,0.8,10
evotrees,0.231629641,239,19.840078910122443,0.9424316274031951,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,mse,0.4,10
evotrees,0.221817637,329,21.597271348819046,0.9338478202003793,0,10,binary,mse,5,0,1,0.05,0.4,128,1000,mse,0.8,10
evotrees,0.191381302,209,22.39388009297483,0.9352761982128351,0,10,binary,mse,5,0,1,0.05,0.6,128,1000,mse,1.0,10
evotrees,0.563784765,154,22.98814776563943,0.9323111291632823,0,1,binary,mse,9,0,1,0.05,0.6,128,1000,mse,0.8,10
evotrees,0.685493522,135,24.087019314630815,0.9412875710804226,0,1,binary,mse,9,0,1,0.05,1.0,128,1000,mse,0.8,10
evotrees,2.342099212,225,19.545712575458086,0.9443135662063366,0,1,binary,mse,11,0,1,0.05,0.8,128,1000,mse,0.4,10
evotrees,0.551170757,199,21.140020996404957,0.9373070674248576,0,10,binary,mse,9,0,1,0.05,0.6,128,1000,mse,0.4,10
evotrees,1.433751181,187,22.61684156099891,0.9344029244516652,0,10,binary,mse,11,0,1,0.05,0.4,128,1000,mse,0.4,10
evotrees,0.142346486,197,20.925428289224982,0.9323788248036831,0,0,binary,mse,5,0,1,0.05,0.4,128,1000,mse,1.0,10
