model_type,train_time,best_nround,mse,gini,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,0.607390085,127,7.271369379981691,0.9371817829385813,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,1,512,64,1.0
lightgbm,0.669566607,178,6.847709132451972,0.9446546917978919,0.6,"[""mse""]",-1,0.05,20,mse,1000,10,10,32,64,1.0
lightgbm,0.746014789,171,6.919944854883062,0.9433845926637009,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,10,512,64,0.8
lightgbm,0.602488389,121,7.053312674807526,0.9394856836936256,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,0,2048,64,0.6
lightgbm,0.336612265,130,7.140505782800154,0.9408960844763612,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,0,512,64,0.4
lightgbm,0.434476338,121,7.053312674807526,0.9394856836936256,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,0,128,64,0.6
lightgbm,0.394287655,194,7.110324795797411,0.9399139729365503,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,10,32,64,0.8
lightgbm,0.649671121,171,6.919944854883062,0.9433845926637009,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,10,2048,64,0.4
lightgbm,0.500990556,122,7.6434664037850055,0.9359190681016819,0.4,"[""mse""]",-1,0.05,20,mse,1000,10,1,512,64,0.6
lightgbm,0.364151749,130,7.140505782800154,0.9408960844763612,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,0,512,64,1.0
lightgbm,0.577213066,194,7.110324795797411,0.9399139729365503,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,10,512,64,1.0
lightgbm,0.253406525,122,7.354517266130457,0.9419298860972147,0.4,"[""mse""]",-1,0.05,20,mse,1000,10,0,32,64,1.0
lightgbm,0.588021782,194,7.110324795797411,0.9399139729365503,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,10,128,64,1.0
lightgbm,0.356643661,130,7.140505782800154,0.9408960844763612,0.8,"[""mse""]",-1,0.05,20,mse,1000,10,0,32,64,0.8
lightgbm,0.839799788,178,6.847709132451972,0.9446546917978919,0.6,"[""mse""]",-1,0.05,20,mse,1000,10,10,512,64,0.8
lightgbm,0.584889316,121,7.053312674807526,0.9394856836936256,1.0,"[""mse""]",-1,0.05,20,mse,1000,10,0,2048,64,0.4
