model_type,train_time,best_nround,mse,gini,arch_config,metric,batchsize,nrounds,wd,loss,device,early_stopping_rounds,hyper_id,arch_name,lr
neurotrees,14.166760066,105,6.911955327653227,0.9394487622071669,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 16, :init_scale => 1.0, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,1,NeuroTreeConfig,0.03
neurotrees,12.622021532,93,6.775172650970288,0.9422474108807621,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 32, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,2,NeuroTreeConfig,0.03
neurotrees,13.382137002,99,7.12879364815827,0.9428750761505661,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,3,NeuroTreeConfig,0.03
neurotrees,13.094731419,96,6.736834245910864,0.9434953571230777,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 32, :ntrees => 64, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,4,NeuroTreeConfig,0.03
neurotrees,14.007236831,104,7.325084895944826,0.9394487622071669,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 16, :init_scale => 1.0, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,5,NeuroTreeConfig,0.03
neurotrees,12.821923779,96,6.678207492674913,0.9390795473425763,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 8, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,6,NeuroTreeConfig,0.03
neurotrees,14.647418138,110,7.42108296277538,0.9385183407483989,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 32, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,7,NeuroTreeConfig,0.03
neurotrees,17.411840393,131,6.666170203264011,0.941752662962211,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 64, :init_scale => 1.0, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,8,NeuroTreeConfig,0.03
neurotrees,15.930047776,119,6.9183033758953325,0.9413834480976209,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 8, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,9,NeuroTreeConfig,0.03
neurotrees,13.208173836,99,7.060618994113044,0.9404382580442693,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 32, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,10,NeuroTreeConfig,0.03
neurotrees,13.987889085,104,6.73676060084679,0.9407262456386496,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 16, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,11,NeuroTreeConfig,0.03
neurotrees,13.781568981,103,7.539512441986926,0.940408720855102,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 8, :ntrees => 16, :init_scale => 1.0, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,12,NeuroTreeConfig,0.03
neurotrees,11.962666901,90,7.449946784737541,0.9387694068563203,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 8, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,13,NeuroTreeConfig,0.03
neurotrees,13.764522973,103,6.68482186361036,0.9408222415034434,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 8, :ntrees => 64, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,14,NeuroTreeConfig,0.03
neurotrees,15.303103548,115,7.341095742442932,0.9420849563403425,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,15,NeuroTreeConfig,0.03
neurotrees,13.156680913,99,6.954414492727426,0.9383337333161035,"Dict{Symbol, Any}(:proj_size => 1, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 1.0, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,354,200,0.0,mse,gpu,2,16,NeuroTreeConfig,0.03
