model_type,train_time,best_nround,mse,gini,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.118594024,259,7.054512203596883,0.944019642230796,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,1.0,1000,10,64
xgboost,0.086312132,253,6.716386010155637,0.9459100223374989,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.6,1000,10,64
xgboost,0.048109219,130,6.570329412068333,0.9558123650058155,0,rmse,0.4,6,0,0.05,reg:squarederror,hist,0.4,1000,10,64
xgboost,0.087888574,262,6.266762808595443,0.9500230759290369,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.8,1000,10,64
xgboost,0.168041155,275,6.84835281078247,0.9449722165814396,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,0.8,1000,10,64
xgboost,0.061756813,258,6.748059183461291,0.9448983736085217,0,rmse,0.4,4,10,0.05,reg:squarederror,hist,1.0,1000,10,64
xgboost,0.131389043,249,6.372118464297204,0.9518543816574054,0,rmse,0.4,10,10,0.05,reg:squarederror,hist,0.6,1000,10,64
xgboost,0.146717812,225,7.411975926081941,0.9382598903431852,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,1.0,1000,10,64
xgboost,0.063263781,169,8.51018649050472,0.9403422621794751,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,1.0,1000,10,64
xgboost,0.096586433,138,7.247534333252538,0.9493289519836065,0,rmse,0.6,6,0,0.05,reg:squarederror,hist,0.6,1000,10,64
xgboost,0.108215648,187,6.705802641219,0.942180952205136,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,0.6,1000,10,64
xgboost,0.102285156,248,6.348403540531598,0.9557237534383136,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.4,1000,10,64
xgboost,0.058720164,238,6.61156559722551,0.945607266148535,0,rmse,0.8,4,10,0.05,reg:squarederror,hist,0.4,1000,10,64
xgboost,0.107846073,251,6.161828646995629,0.9516328527386511,0,rmse,0.6,8,10,0.05,reg:squarederror,hist,0.4,1000,10,64
xgboost,0.070581538,187,8.319844048783184,0.9459543281212498,0,rmse,0.4,6,0,0.05,reg:squarederror,hist,1.0,1000,10,64
xgboost,0.029605907,116,7.001964745228318,0.9421440307186768,0,rmse,0.4,4,1,0.05,reg:squarederror,hist,0.4,1000,10,64
