model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
tabm,1,4.598157199,91,0.1336852801489754,0.3911056523301843,0.9211357049234795,0.8910574059030605
tabm,2,43.006024151,136,0.13152753097506775,0.34188792896632453,0.9191640975465668,0.9052193338748994
tabm,3,6.775998942,100,0.1112928454929238,0.28105589815154103,0.9225017999224641,0.9168155970755489
tabm,4,6.513249689,74,0.12007109895515763,0.3036054152415064,0.9242223411914555,0.9103980503655573
tabm,5,6.81944641,100,0.13382434779999486,0.3377550919221984,0.9226273329764252,0.9061399945843495
tabm,6,8.350267976,61,0.1222819178917542,0.33692638868881364,0.9235134486514419,0.9001556999729223
tabm,7,7.836195065,88,0.1348501909376186,0.3348484940533946,0.9281064815669471,0.9081776333604121
tabm,8,8.325995204,79,0.10732498064492084,0.30958465021518594,0.9288892170798788,0.9160912537232607
tabm,9,7.820325979,95,0.14345097715369134,0.37090930428430424,0.9217855230851587,0.8993027349038727
tabm,10,8.112820746,92,0.13923510501879668,0.3805340733089352,0.9248573907585513,0.8924383969672358
tabm,11,8.054464016,106,0.13627467184681893,0.38064235000198143,0.9219922834093296,0.8960127267803962
tabm,12,6.844610085,82,0.11325549187705068,0.29745359303654406,0.9254850560283548,0.9188058489033304
tabm,13,7.826706991,91,0.11779074945885096,0.3360893159204344,0.9282984732965341,0.9057067424857842
tabm,14,8.137333338,109,0.14203327911046684,0.35469212133794403,0.9211726264099386,0.8990116436501496
tabm,15,6.212563149,121,0.13131914223686278,0.33823666654147055,0.9219553619228705,0.9073043595992424
tabm,16,6.579038916,92,0.10791400887846023,0.2682207635862005,0.925403828758145,0.9113660980232879
