model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
evotrees,1,0.118803383,1,0.018042969,0.020766689,0.48023578808879513,0.43688293822934066
evotrees,2,0.629864194,109,0.0022629632,0.0021150413,0.9815629954543469,0.9810987877224658
evotrees,3,1.085983309,126,0.002581311,0.0024182834,0.9836649424534193,0.9799795218108346
evotrees,4,0.111231865,1,0.018458143,0.017414158,0.4780773095078406,0.6890379159143671
evotrees,5,0.184911646,1,0.017531324,0.017133582,0.4986862831255792,0.5268562853190147
evotrees,6,0.857933563,133,0.0021138168,0.002178033,0.9732869003476693,0.9790222055478698
evotrees,7,0.099117746,1,0.008435679,0.010381829,0.6596368359787541,0.8036720050648347
evotrees,8,2.180247053,282,0.0020749313,0.0019933914,0.9831690063032714,0.9816496666432184
evotrees,9,1.481441447,270,0.0020814545,0.0019776155,0.9792008746977489,0.9814208111551418
evotrees,10,0.612838823,142,0.0021745162,0.002149897,0.9831869936247793,0.9796975168241612
evotrees,11,0.117690337,1,0.016216906,0.017094752,0.669112942391748,0.6313369443727972
evotrees,12,1.402326887,268,0.0021518131,0.0020715606,0.9815739163281196,0.9834442438311408
evotrees,13,1.164674545,277,0.002078143,0.0020654695,0.9735772671091548,0.9798382066733885
evotrees,14,1.528937695,224,0.0021039841,0.0021073471,0.9697806574622972,0.9722340766447035
evotrees,15,1.442706738,296,0.00208934,0.0019634995,0.9820634284348718,0.9826132357883712
evotrees,16,0.091797544,1,0.0071150754,0.008964192,0.7698245979191236,0.7186359337507136
