model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
lightgbm,1,5.784435543,202,0.0021193009633119833,0.002076356866456123,0.9774483956594024,0.9789665548963975
lightgbm,2,1.078381229,74,0.005224479048431532,0.004415108078645639,0.9179913044148594,0.9208397620778328
lightgbm,3,2.658417911,67,0.004664562506915476,0.0041068561326678445,0.9573578423436966,0.939315778366591
lightgbm,4,1.291255771,211,0.0021707724801777995,0.0020990731204185917,0.9764205487160907,0.9774045849258644
lightgbm,5,2.012425449,96,0.00265115795220929,0.002260490104601546,0.9819985455965752,0.9755030834525289
lightgbm,6,1.020522373,94,0.004796018349971515,0.004635901557358728,0.9401645325994505,0.9289103571177341
lightgbm,7,1.080628818,175,0.0025437755269732487,0.0022963416392003176,0.9693663066632748,0.9746995880913859
lightgbm,8,2.268366082,234,0.002222513917550512,0.0021057099634493905,0.9679632955856545,0.977287656028951
lightgbm,9,1.077352269,62,0.004425404746157863,0.004181438801409015,0.9413639015014273,0.9440510860474751
lightgbm,10,2.53220042,208,0.0022251319675311958,0.0021050412760368737,0.9701853721962264,0.9787320718143518
lightgbm,11,5.676746135,107,0.002529425423884779,0.0022432688226431147,0.9776122087659926,0.9823906331824827
lightgbm,12,1.622188118,194,0.002122321562209739,0.002069428593960712,0.9776391897482546,0.9792022885548808
lightgbm,13,0.294418384,40,NaN,NaN,0.8450507884870863,0.8761166475172152
lightgbm,14,1.17315685,74,0.005224479048431532,0.004415108078645639,0.9179913044148594,0.9208397620778328
lightgbm,15,0.814276284,75,0.005145130385681075,0.004560391326504578,0.9640992334831421,0.9670554396166984
lightgbm,16,0.834705096,98,0.004512484346735252,0.00429142821837881,0.9628214912517378,0.9511793717416622
