model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
NeuroTree,1,8.39910781,29,0.0022272582,0.0024991238,0.9681733618046936,0.9783500207126722
NeuroTree,2,13.910297144,28,0.0022340692,0.0024485763,0.9721581959230451,0.9844340750814828
NeuroTree,3,35.312612228,24,0.0022382678,0.0025677695,0.9737237352985768,0.9813220156165732
NeuroTree,4,8.383834659,25,0.0022863788,0.0025469174,0.9725796131698029,0.9811388061684684
NeuroTree,5,9.315217768,34,0.002227123,0.002497521,0.9742260954921204,0.9806567089517825
NeuroTree,6,25.463144937,34,0.0021285969,0.0024464952,0.9723522020335953,0.9808361666705746
NeuroTree,7,9.122757371,24,0.0023082925,0.0025471575,0.9703832327328137,0.987639302490992
NeuroTree,8,32.323173366,23,0.0023473266,0.0026372736,0.9722731862998281,0.9822036720050649
NeuroTree,9,10.031427496,22,0.0023448141,0.0026549408,0.9805319364893375,0.983204758443345
NeuroTree,10,15.914845319,35,0.0022088233,0.0025365117,0.9742884087130586,0.9811875786495337
NeuroTree,11,8.044098299,27,0.002197328,0.002461835,0.9739601400955384,0.9846485489405272
NeuroTree,12,16.263690106,20,0.002437723,0.0026786637,0.9717579780194932,0.9807873941895093
NeuroTree,13,7.374637707,24,0.0022814742,0.0024649394,0.9749655028869652,0.9842158494931258
NeuroTree,14,46.396726314,33,0.002142147,0.0025077143,0.9698757333045537,0.9798582158963898
NeuroTree,15,7.806530761,26,0.0021764226,0.002514607,0.9791154349205861,0.9773508101390485
NeuroTree,16,13.547184068,26,0.0021416948,0.0024399501,0.9707693177408953,0.9843108933023815
