model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
TabM,1,9.156768231,25,0.002168369,0.0022838246,0.977919278040307,0.9780211191095894
TabM,2,24.553122935,41,0.0024048793,0.002357374,0.9773083515133762,0.9765304319959982
TabM,3,14.857788359,18,0.0021353194,0.002360506,0.9845469636116486,0.9743369209244886
TabM,4,11.612545128,20,0.0022725097,0.0023605016,0.9848983587853933,0.9787977270773246
TabM,5,13.956040747,24,0.0023260126,0.0025638985,0.9779944393480366,0.975517465081561
TabM,6,12.912648585,16,0.0024476594,0.002462463,0.9783991540819656,0.9788052305359503
TabM,7,13.634428693,22,0.0022437014,0.0024626493,0.975658657169361,0.9744000750345863
TabM,8,15.173708642,16,0.0022420513,NaN,0.9768393963454902,0.9753799016734277
TabM,9,14.782793825,21,0.002570605,0.0026927735,0.9750156104254516,0.9778610453255798
TabM,10,12.893941862,25,0.0021118245,0.0022384543,0.9859120728332345,0.9812976293760405
TabM,11,14.756749346,21,0.0024458847,0.0024921128,0.9758873531142478,0.9799482573998953
TabM,12,11.998808918,19,0.0021612637,0.0021496087,0.9794077288950902,0.9749603332786206
TabM,13,10.247394789,9,0.0022840095,0.002222204,0.9830642943959216,0.9838756927021048
TabM,14,13.864215415,27,0.0031003854,0.00302524,0.9650088780279729,0.9734765243354359
TabM,15,12.985206744,22,0.0025060414,0.0025218334,0.9726573440948909,0.978146802041566
TabM,16,13.050955015,22,0.0023753727,0.0024948078,0.9833418130706157,0.9762721879616385
