model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
xgboost,1,0.591314151,156,0.0021481141,0.0020453597,0.9706228495514735,0.9698154618144302
xgboost,2,0.680452949,194,0.0020556876,0.0019841378,0.9793132954571735,0.9842808794678798
xgboost,3,0.722415206,198,0.0020618963,0.0020232792,0.9871249322263422,0.9805722950422461
xgboost,4,0.624583193,186,0.0020736384,0.0020875607,0.9810304422568437,0.9780780203374994
xgboost,5,0.653688396,167,0.0021554907,0.0020559856,0.9743789877249379,0.9739085984946186
xgboost,6,0.647897756,195,0.002048812,0.0019826228,0.9810561384304264,0.9803578211832017
xgboost,7,0.629761275,208,0.0021050172,0.002067816,0.9777201326950405,0.9818184944622912
xgboost,8,1.196723416,330,0.002071701,0.0020326497,0.9747374493464179,0.9767411541257298
xgboost,9,1.041798304,300,0.0021359904,0.002040212,0.9738933300442232,0.9787233177792889
xgboost,10,0.676174393,207,0.002050502,0.0020314718,0.9730292962075017,0.9818347519559798
xgboost,11,0.614275537,161,0.002208129,0.0021037243,0.9546571745001452,0.976344721395018
xgboost,12,1.676973698,489,0.0021365318,0.0020154298,0.9732322959788059,0.9782262136453521
xgboost,13,0.94049482,323,0.0021441008,0.0020891936,0.9786901632477908,0.9771757294377877
xgboost,14,1.061781781,313,0.002083331,0.0020296571,0.9740558583421344,0.9813370225338242
xgboost,15,0.861598113,258,0.0021585154,0.0020450084,0.9747220316422682,0.9848417630001329
xgboost,16,0.647543167,223,0.0021459798,0.00218569,0.9752327430922262,0.9830515628297418
