model_type,train_time,best_nround,logloss,accuracy,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,912.892261635,1346,0.47359174266410825,0.767948,Logloss,10,0.3,1.0,Logloss,0.6,5000,10,10
catboost,1194.946478053,2458,0.4744427033077045,0.767594,Logloss,8,0.3,0.9,Logloss,0.6,5000,10,10
catboost,1251.689832705,4124,0.4807500960053727,0.763418,Logloss,6,0.3,0.9,Logloss,0.3,5000,10,1
catboost,723.940566636,1622,NaN,0.764226,Logloss,8,0.3,0.5,Logloss,0.6,5000,10,0
catboost,672.581789412,2349,0.48447679616047473,0.76073,Logloss,6,0.3,1.0,Logloss,0.3,5000,10,0
catboost,694.550600327,1361,0.4755696291057941,0.767096,Logloss,10,0.3,0.5,Logloss,0.6,5000,10,1
catboost,1355.605236948,3690,0.4804788284012139,0.763804,Logloss,6,0.3,0.5,Logloss,0.6,5000,10,1
catboost,141.015964865,244,0.500017816115355,0.750286,Logloss,8,0.3,0.7,Logloss,0.9,5000,10,0
catboost,598.260533069,1562,NaN,0.763764,Logloss,8,0.3,0.9,Logloss,0.3,5000,10,0
catboost,1581.302413303,4039,0.47864198854118445,0.764644,Logloss,6,0.3,0.9,Logloss,0.6,5000,10,1
catboost,598.106507356,1229,0.47707693805066287,0.766148,Logloss,10,0.3,1.0,Logloss,0.3,5000,10,1
catboost,747.688511512,2081,0.47784137931009635,0.765264,Logloss,8,0.3,1.0,Logloss,0.3,5000,10,1
catboost,1366.969449127,3721,NaN,0.764002,Logloss,6,0.3,0.9,Logloss,0.6,5000,10,0
catboost,917.806317901,1356,0.4745522640767627,0.767778,Logloss,10,0.3,1.0,Logloss,0.6,5000,10,1
catboost,757.538857505,1328,0.4742900749617712,0.768084,Logloss,10,0.3,0.7,Logloss,0.6,5000,10,10
catboost,1337.748573179,3710,0.4797962241541531,0.764104,Logloss,6,0.3,0.7,Logloss,0.6,5000,10,0
