model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,1217.563855312,2119,0.47049975,0.77094,0,1,binary,logloss,11,0,1,0.1,0.6,128,12000,logloss,0.7,50
evotrees,3459.894568858,12000,0.4726754,0.768822,0,10,binary,logloss,7,0,1,0.1,1.0,128,12000,logloss,0.5,50
evotrees,1617.174753804,2976,0.46889302,0.77136,0,10,binary,logloss,11,0,1,0.1,0.6,128,12000,logloss,0.7,50
evotrees,4061.876175124,11991,0.47111306,0.769942,0,10,binary,logloss,7,0,1,0.1,0.8,128,12000,logloss,1.0,50
evotrees,3776.790214665,11040,0.47168028,0.768956,0,1,binary,logloss,7,0,1,0.1,0.8,128,12000,logloss,1.0,50
evotrees,2040.645494592,8549,0.4762867,0.766188,0,10,binary,logloss,7,0,1,0.1,0.4,128,12000,logloss,1.0,50
evotrees,959.300510005,2632,0.47711712,0.765884,0,0,binary,logloss,9,0,1,0.1,0.4,128,12000,logloss,1.0,50
evotrees,1017.154324436,1844,0.47242776,0.7695,0,0,binary,logloss,11,0,1,0.1,0.6,128,12000,logloss,0.7,50
evotrees,3637.748823631,6901,0.46570587,0.773672,0,10,binary,logloss,9,0,1,0.1,1.0,128,12000,logloss,0.9,50
evotrees,645.061060487,1141,0.47772887,0.765396,0,0,binary,logloss,11,0,1,0.1,0.4,128,12000,logloss,1.0,50
evotrees,2622.004019162,3186,0.46421576,0.775552,0,1,binary,logloss,11,0,1,0.1,1.0,128,12000,logloss,1.0,50
evotrees,732.38294667,1805,0.477245,0.76587,0,1,binary,logloss,11,0,1,0.1,0.4,128,12000,logloss,0.5,50
evotrees,1858.27322892,2969,0.46765643,0.77322,0,0,binary,logloss,11,0,1,0.1,0.8,128,12000,logloss,0.7,50
evotrees,1572.643932935,4468,0.471775,0.769544,0,1,binary,logloss,9,0,1,0.1,0.6,128,12000,logloss,0.7,50
evotrees,1646.44945139,7403,0.478109,0.764938,0,0,binary,logloss,7,0,1,0.1,0.6,128,12000,logloss,0.5,50
evotrees,2526.656452924,4234,0.4647905,0.774528,0,10,binary,logloss,11,0,1,0.1,1.0,128,12000,logloss,0.5,50
