model_type,train_time,best_nround,logloss,accuracy,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,lr,depth,stack_size
neurotrees,4308.263993349,48,0.45385197,0.779672,64,stack,logloss,8196,200,24,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,4665.456313338,49,0.4552553,0.779196,128,stack,logloss,8196,200,24,0.0,identity,logloss,1.0,gpu,5,0.01,3,2
neurotrees,14848.642654424,50,0.45426738,0.779688,256,stack,logloss,8196,200,24,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,21008.951688583,42,0.45381874,0.780302,256,stack,logloss,8196,200,32,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,13751.164607384,58,0.4545855,0.779684,256,stack,logloss,8196,200,16,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,8545.551714203,49,0.45202628,0.78111,128,stack,logloss,8196,200,24,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,4699.932384729,37,0.45701134,0.778092,128,stack,logloss,8196,200,16,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,9031.7845632,37,0.4543893,0.78037,128,stack,logloss,8196,200,32,0.0,identity,logloss,1.0,gpu,5,0.01,3,3
neurotrees,4253.515365154,43,0.45669293,0.777576,128,stack,logloss,2048,200,16,0.0,identity,logloss,1.0,gpu,5,0.005,3,2
neurotrees,1736.147897398,38,0.462087,0.77508,32,stack,logloss,2048,200,32,0.0,identity,logloss,1.0,gpu,5,0.005,3,2
neurotrees,6918.11128034,64,0.45308512,0.780584,128,stack,logloss,2048,200,24,0.0,identity,logloss,1.0,gpu,5,0.005,3,2
neurotrees,3812.594957144,38,0.45792335,0.777234,64,stack,logloss,2048,200,16,0.0,identity,logloss,1.0,gpu,5,0.005,3,3
neurotrees,15186.243236589,48,0.45289168,0.781164,256,stack,logloss,2048,200,24,0.0,identity,logloss,1.0,gpu,5,0.005,3,3
neurotrees,10019.153507508,60,0.45432645,0.780012,256,stack,logloss,2048,200,24,0.0,identity,logloss,1.0,gpu,5,0.005,3,2
neurotrees,12341.074665238,44,0.45172295,0.781462,128,stack,logloss,2048,200,32,0.0,identity,logloss,1.0,gpu,5,0.005,3,3
neurotrees,4836.790118303,63,0.45384657,0.779734,64,stack,logloss,2048,200,32,0.0,identity,logloss,1.0,gpu,5,0.005,3,2
