model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
catboost,1,71.609143751,2567,0.5009807775412246,0.4990091999663013,0.6640145762921353,0.6672314861962861
catboost,2,71.630832669,1925,0.4993118280012762,0.4970736983818756,0.6664185165223436,0.6700338183527258
catboost,3,64.223720845,1198,0.5007764794334619,0.49868385799349557,0.6641414150495454,0.6675971667191531
catboost,4,79.989035611,3902,0.5019339477274902,0.4999145297077922,0.6625778659622599,0.6659107518175207
catboost,5,82.575553535,2649,0.5005281123546708,0.4983811440787798,0.6645813096157576,0.6681087320270924
catboost,6,61.390839509,2124,0.5004535520266135,0.4986266194833807,0.6648113446265141,0.6676744010997588
catboost,7,84.149733967,3784,0.5028123631387517,0.5008333144748891,0.661134077401528,0.6642143341685289
catboost,8,135.478008641,2098,0.49576162869469087,0.4941922382651804,0.6716736840903832,0.6740776174227933
catboost,9,86.082226568,1955,0.49906939560397856,0.4969583268382573,0.6667541723659274,0.6700875828968171
catboost,10,75.045196587,3101,0.5007859285741691,0.4989981464831857,0.6642948678122697,0.6671183523018065
catboost,11,75.639436725,2003,0.4994392633913341,0.4975658277012304,0.6663658015407465,0.6692848234469406
catboost,12,93.137961484,1938,0.5005155613159384,0.4986602583261275,0.6646833724245761,0.6674568503524817
catboost,13,87.140878873,3328,0.5035440606342719,0.5016725677469227,0.6599200530664104,0.6629240496810169
catboost,14,72.35462861,2140,0.5024696933727665,0.5001664063368854,0.661712662480647,0.6654806557992031
catboost,15,72.487003748,2147,0.5009923705004015,0.49902896887375914,0.6639820285602283,0.6669687259847858
catboost,16,68.406932903,2824,0.5022323371612885,0.5005392645573955,0.6621652411366598,0.6648348048833252
