model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
neurotree,1,198.906766484,26,0.49537405,0.4929175,0.6726495234598205,0.6769930142653603
neurotree,2,233.578850726,51,0.4926449,0.49005762,0.6765356791241137,0.6806845906263692
neurotree,3,480.285237719,60,0.49017558,0.48800272,0.6802436670840203,0.6839746504510839
neurotree,4,124.208256885,36,0.49193943,0.48987234,0.6775827867169559,0.6811429657481918
neurotree,5,306.520827314,39,0.49059686,0.48847616,0.6794857394711691,0.6830064602077962
neurotree,6,81.539714958,47,0.49131814,0.48929322,0.6783821665760258,0.681903861636605
neurotree,7,50.466475373,44,0.49271291,0.49025673,0.6767566462218823,0.6807330368296627
neurotree,8,1294.330888173,55,0.49029937,0.48863953,0.6810182881192505,0.6837241108649106
neurotree,9,203.660281593,48,0.492873,0.49051887,0.6759493682844505,0.67978242051342
neurotree,10,56.292231031,54,0.49255353,0.49009845,0.6762261453059877,0.6804275190560257
neurotree,11,427.102600986,40,0.4907081,0.48907343,0.6792180863748296,0.6820463794710163
neurotree,12,312.23862268,41,0.4908613,0.48895115,0.6791578786006693,0.6825700648024509
neurotree,13,66.575898348,37,0.4930637,0.4908188,0.6755510304967978,0.6795272511025301
neurotree,14,155.17788276,42,0.49193093,0.48938015,0.677440756877395,0.6817411506600872
neurotree,15,99.877761709,44,0.49229917,0.4897348,0.67702876745145,0.6811957474623328
neurotree,16,65.425043109,50,0.49498928,0.49274483,0.6733427641055475,0.6771834043018345
