model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
neurotrees,1,33.016858066,15,0.5109447,0.5092829,0.6488097076457764,0.6519831395846678
neurotrees,2,65.992764773,35,0.49939755,0.4975754,0.6665930737581686,0.6703034355422565
neurotrees,3,103.353577244,32,0.5009881,0.49887386,0.6629119737996094,0.6669141441399992
neurotrees,4,25.056732827,18,0.5028703,0.50100607,0.6618336952335734,0.6653219000443398
neurotrees,5,29.393945883,12,0.51262844,0.51090276,0.6478806926999893,0.6514877754525399
neurotrees,6,44.362188916,24,0.51617503,0.5138016,0.6433279664074932,0.6473395277794518
neurotrees,7,19.961163279,15,0.51222956,0.5103026,0.6466311580508561,0.6499780401987618
neurotrees,8,87.202542217,21,0.50130624,0.49954656,0.664242330499975,0.6671972958433163
neurotrees,9,44.799033995,13,0.50492626,0.5023778,0.6567427304913717,0.6609528063788745
neurotrees,10,43.424315775,24,0.51536155,0.5133275,0.6427805565827557,0.6467037049397629
neurotrees,11,24.321109227,18,0.5167818,0.5148517,0.6398040310016698,0.6431984645754626
neurotrees,12,67.670128395,24,0.5073905,0.5055187,0.6546852825051517,0.6581364199325183
neurotrees,13,34.320695324,26,0.50593877,0.5040138,0.6562749247198758,0.6597347169050436
neurotrees,14,34.60412884,16,0.5057982,0.5035333,0.6571827941645106,0.6614670444134878
neurotrees,15,47.499997881,25,0.5070537,0.50556564,0.6552222305334358,0.6581267639404083
neurotrees,16,38.950257675,24,0.49939725,0.49743116,0.6650664995079665,0.6685674567581168
