model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
catboost,1,67.854185827,2250,0.7449151968788817,0.7456558732054809,0.5456154728029524,0.5472874411248126
catboost,2,102.770548537,1974,0.739152304263157,0.7391868701374769,0.5520591503312506,0.5531468730941728
catboost,3,74.757827271,1005,0.7399019738667892,0.7398136152101364,0.5500281716556535,0.5514660555941807
catboost,4,111.678367385,3999,0.7504665867020204,0.7498315370789582,0.5420858461212077,0.5442336403362523
catboost,5,48.906936754,1223,0.7540115844185439,0.7544283970088481,0.5365519654048464,0.5387789709387976
catboost,6,82.999765693,1868,0.7458029410920762,0.7470269672647347,0.5462401188491309,0.5467536168721371
catboost,7,119.589861051,3677,0.7516220544070182,0.7510498094046366,0.5414798448198708,0.5441606695074892
catboost,8,183.494577113,1998,0.7279116679553015,0.729729063617554,0.5607377941063352,0.5610043169330926
catboost,9,56.559744453,1005,0.7501355270799955,0.7500693018862232,0.5416868449154169,0.5434521598758933
catboost,10,87.26028957,2606,0.7488754387126187,0.7498252443637519,0.5428840218565167,0.543951365488552
catboost,11,60.191328271,1441,0.7439049020733585,0.744918259839404,0.5476910123680506,0.5482378253099324
catboost,12,55.641150087,1329,0.7434384883280166,0.7430399187092881,0.5456631708072115,0.5480871644408726
catboost,13,88.066908244,2161,0.7595314913350644,0.7586667164271811,0.5339755791347849,0.537113557965815
catboost,14,76.200575868,1864,0.7477593178932238,0.7486812796132928,0.5433376556550137,0.5444082621527676
catboost,15,85.860315311,1808,0.7461573769122983,0.745693924281529,0.5462932821394902,0.5486249937190901
catboost,16,81.100227005,2655,0.7495100185163216,0.7489791865643763,0.5430314246703338,0.5455297156397191
