model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
neurotrees,1,1070.597580786,67,0.7622618152972707,0.7609370713331309,0.5248690036965143,0.5264035147842766
neurotrees,2,976.305363493,79,0.7642039579350235,0.7635623929540801,0.5239142091835154,0.5256158711468193
neurotrees,3,783.265533796,52,0.7731956589916726,0.7714488081899167,0.5182086512405624,0.5208892064754399
neurotrees,4,469.699306156,59,0.766711100007748,0.76576375135895,0.5212478117139824,0.5221892511619787
neurotrees,5,917.249052179,56,0.7641768297127478,0.7634718082531656,0.5246906061888877,0.5257721571401912
neurotrees,6,184.009491908,46,0.7721883095846133,0.7703673327975836,0.5189552070565544,0.5215318318923639
neurotrees,7,139.983132304,62,0.7700453579489523,0.7699897543311617,0.5191548598952086,0.5202552207932356
neurotrees,8,3523.836871893,71,0.7623791562611572,0.7609925565569291,0.5255252402647591,0.5273056161944761
neurotrees,9,538.135890014,45,0.7736995593522804,0.7727276934189289,0.5178208190574997,0.5203486594588873
neurotrees,10,155.903277475,71,0.7718237793483808,0.7697875264559959,0.5190697628630547,0.5219978472369895
neurotrees,11,1522.112282087,59,0.7621761588659512,0.7613750199010569,0.5250943974186899,0.5265935651864685
neurotrees,12,1204.305422669,80,0.7591672025861086,0.7578963735296546,0.5288114421915325,0.5308890660173763
neurotrees,13,161.765092262,42,0.7732854374491217,0.772392876406967,0.5176360316718511,0.518831143132908
neurotrees,14,413.770054312,57,0.7644498507458669,0.7630897868700878,0.524362215549553,0.5261547535115141
neurotrees,15,454.238471323,72,0.7656612204068342,0.7651258167234007,0.523476112523355,0.5247087319705103
neurotrees,16,157.74085331,49,0.7774174882828548,0.7772774218482066,0.5145114646276855,0.5164309175735764
