model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
xgboost,1,27.632011824,610,0.7531116103940306,0.7536421719675677,0.5359264499084304,0.5367640686967619
xgboost,2,32.919402951,940,0.7307134647611868,0.7309853900118053,0.5589023468010484,0.5592477404721243
xgboost,3,28.17221746,548,0.733686192329011,0.734347664042571,0.5532408940090253,0.5534805868575082
xgboost,4,24.612849833,806,0.7626575523157652,0.7617859577190141,0.527775944991546,0.530202073596389
xgboost,5,28.438165179,635,0.7532053751067463,0.7538497499222057,0.535985642420388,0.537419695001627
xgboost,6,40.443445153,1267,0.738995380722684,0.738759293911357,0.5502877423429653,0.5519841087964475
xgboost,7,45.066461141,1696,0.7555942279365913,0.756051647903249,0.5362734937874069,0.5380855287158492
xgboost,8,38.839495088,764,0.7193206879119526,0.7192360156683537,0.5685494086619818,0.5695391644775165
xgboost,9,57.570690334,1545,0.7233867281821212,0.7240552881032584,0.5655984362847155,0.5653428697094319
xgboost,10,34.353025437,1025,0.7518184964553013,0.7512967930609039,0.5376030854363278,0.5399950704800708
xgboost,11,29.946791098,799,0.7418860661139506,0.7416489535740289,0.5474221127509283,0.5487271417707884
xgboost,12,30.214871776,579,0.7432922821109674,0.743327309221057,0.5442272211319087,0.544522187516115
xgboost,13,61.362703831,2356,0.7494363765076502,0.7491899558560654,0.542886321562827,0.5445863454471582
xgboost,14,56.755537304,1999,0.7231930145125973,0.7238717341037821,0.5673435314062757,0.567030385172082
xgboost,15,52.345146423,1649,0.7352226108343152,0.7359671694770152,0.5546337334682263,0.554961620887822
xgboost,16,64.465684836,2471,0.7433735586513779,0.7423933632494162,0.5493224905820642,0.5518263780949596
