model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,5.187040368,183,0.5631622447423894,0.49218584725467235,RMSE,6,0.2,0.5,RMSE,0.6,5000,5,0
catboost,8.407726323,203,0.5613396702490107,0.49576204768340026,RMSE,6,0.2,0.9,RMSE,0.9,5000,5,0
catboost,4.884369722,191,0.562468213213623,0.49414938455084806,RMSE,6,0.2,0.9,RMSE,0.3,5000,5,0
catboost,6.208906902,352,0.5635003691624265,0.49264420268112347,RMSE,4,0.2,0.9,RMSE,0.3,5000,5,10
catboost,9.141870912,365,0.5630458195730579,0.4923124183423362,RMSE,4,0.2,0.5,RMSE,0.9,5000,5,0
catboost,4.969557482,244,0.5618186436320113,0.49484383637044754,RMSE,6,0.2,0.5,RMSE,0.3,5000,5,10
catboost,8.481917074,335,0.5636307461433566,0.49265665585295526,RMSE,4,0.2,0.5,RMSE,0.9,5000,5,1
catboost,6.123952795,200,0.5597695910917958,0.4980905233046949,RMSE,8,0.2,0.5,RMSE,0.3,5000,5,10
catboost,4.441811348,223,0.565546781173177,0.49089368951112883,RMSE,4,0.2,0.5,RMSE,0.6,5000,5,0
catboost,6.457936358,330,0.5635078604987808,0.49011318755923167,RMSE,4,0.2,0.5,RMSE,0.6,5000,5,1
catboost,8.982481489,302,0.5626089105957678,0.49174012561007113,RMSE,4,0.2,0.9,RMSE,0.9,5000,5,0
catboost,6.442150217,125,0.5599236766563812,0.49517795378672735,RMSE,8,0.2,0.9,RMSE,0.6,5000,5,1
catboost,5.589660719,284,0.564423691753653,0.48905706364693363,RMSE,4,0.2,0.5,RMSE,0.6,5000,5,10
catboost,14.704829753,160,0.5571526401500126,0.49726978907552166,RMSE,10,0.2,0.9,RMSE,0.6,5000,5,10
catboost,3.746996149,251,0.5656325823737806,0.4898419613966041,RMSE,4,0.2,0.5,RMSE,0.3,5000,5,10
catboost,5.927911083,334,0.5635537515012599,0.49097014391207633,RMSE,4,0.2,0.9,RMSE,0.3,5000,5,0
