model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,27.193622427,814,0.560884769201606,0.4951032597995443,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,5
evotrees,11.966968574,542,0.5629060410914957,0.4942099234476144,0,0,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.8,5
evotrees,24.992477497,270,0.5567027352976411,0.5015194147066357,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.8,5
evotrees,22.697247347,468,0.5577964621913307,0.49971347603322036,0,0,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.6,5
evotrees,21.71005842,663,0.5617929113352157,0.49348983263996254,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.8,5
evotrees,34.976433398,188,0.5551792436087934,0.5047272111907493,0,1,binary,mse,11,0,1,0.05,1.0,128,5000,mse,0.4,5
evotrees,33.930810487,253,0.5565642985308964,0.4988720738373752,0,1,binary,mse,9,0,1,0.05,1.0,128,5000,mse,1.0,5
evotrees,15.872970046,410,0.5581118430346472,0.5003065177287936,0,10,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,5
evotrees,24.13125792,458,0.5576172999297863,0.5009781562286885,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.8,5
evotrees,35.040123935,152,0.554601982207342,0.5013066488561886,0,1,binary,mse,11,0,1,0.05,1.0,128,5000,mse,0.6,5
evotrees,16.075919097,418,0.5585685979221132,0.49859212637264877,0,0,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,5
evotrees,23.886855789,750,0.5614921344431479,0.49593823557493544,0,0,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.6,5
evotrees,15.63838593,342,0.5588588041496755,0.4999597643927668,0,1,binary,mse,7,0,1,0.05,0.4,128,5000,mse,1.0,5
evotrees,8.891905257,597,0.5632103928037399,0.49352746226191346,0,0,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.4,5
evotrees,21.40076974,841,0.5615762318836713,0.49614939878311326,0,1,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.4,5
evotrees,26.326191801,426,0.5581737002284761,0.499810387053372,0,0,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,5
