model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,27.884972576,111,0.5541705674797791,0.5015154706063351,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,2048,128,0.9
lightgbm,13.293518586,163,0.5534669613235933,0.5081548583260185,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,512,128,0.6
lightgbm,14.095270435,181,0.5529014533985886,0.5067553866539112,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,512,128,0.3
lightgbm,11.393120129,513,0.5589009337065147,0.49926406725774414,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,32,128,0.6
lightgbm,11.66164395,310,0.5557213857173869,0.504196391697814,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,128,128,0.3
lightgbm,7.503564409,350,0.5601376942529309,0.4975701068494688,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.6
lightgbm,14.139180709,181,0.5529014533985886,0.5067553866539112,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,512,128,0.6
lightgbm,13.23988566,159,0.5540702323757069,0.5039588152096448,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,512,128,0.6
lightgbm,26.819704153,114,0.5538772343539942,0.5030901519929081,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,2048,128,0.3
lightgbm,25.827091054,116,0.5546903176782075,0.5001164862960801,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,2048,128,0.3
lightgbm,11.525358795,310,0.5557213857173869,0.504196391697814,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,128,128,0.6
lightgbm,8.272598187,415,0.5595169659979093,0.49904431324445114,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,32,128,0.3
lightgbm,9.131275038,253,0.5563169239820779,0.5035473324691858,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,128,128,0.3
lightgbm,9.959066239,452,0.5594418165299065,0.49819453404341724,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,32,128,0.9
lightgbm,12.304057503,354,0.5553579766019345,0.5037060279449337,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,128,128,0.3
lightgbm,12.240742699,354,0.5553579766019345,0.5037060279449337,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,128,128,0.9
