model_type,train_time,best_nround,mse,ndcg,boosting_size,stack_size,num_trees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,depth,lr
neurotrees,295.800807291,60,0.5661436280466166,0.4856941571866354,1,2,64,stack,mse,4096,500,16,0.0,mse,gpu,3,3,0.0003
neurotrees,328.847374102,49,0.5668444019440932,0.48678137058839877,1,2,32,stack,mse,4096,500,32,0.0,mse,gpu,3,4,0.0003
neurotrees,534.836850678,33,0.5645159445658858,0.490895826293578,1,2,64,stack,mse,4096,500,8,0.0,mse,gpu,3,5,0.0003
neurotrees,547.909676075,35,0.5657301926199746,0.4881917391829797,1,2,128,stack,mse,4096,500,16,0.0,mse,gpu,3,4,0.0003
neurotrees,1031.097077911,42,0.563690997880305,0.4913535022556374,1,2,64,stack,mse,4096,500,32,0.0,mse,gpu,3,5,0.0003
neurotrees,162.310480298,91,0.5650196208973408,0.4895880879911587,1,1,32,stack,mse,4096,500,16,0.0,mse,gpu,3,3,0.0003
neurotrees,744.165649162,64,0.5612324959919827,0.49278125351961166,1,1,128,stack,mse,4096,500,8,0.0,mse,gpu,3,5,0.0003
neurotrees,269.678683666,71,0.5624328015380796,0.49031646681823726,1,1,32,stack,mse,4096,500,8,0.0,mse,gpu,3,5,0.0003
neurotrees,119.395338043,60,0.5657193773799434,0.4895209705750743,1,1,64,stack,mse,4096,500,16,0.0,mse,gpu,3,3,0.0003
neurotrees,149.725134072,84,0.564795541392973,0.485937951636039,1,1,32,stack,mse,4096,500,8,0.0,mse,gpu,3,3,0.0003
neurotrees,485.788914856,35,0.5671697671431529,0.48834998690974885,1,3,64,stack,mse,4096,500,16,0.0,mse,gpu,3,4,0.0003
neurotrees,1059.989426606,46,0.5669638989464404,0.4889714905325392,1,3,32,stack,mse,4096,500,32,0.0,mse,gpu,3,5,0.0003
neurotrees,205.19390499,84,0.562337810683989,0.49332553590206296,1,1,128,stack,mse,4096,500,8,0.0,mse,gpu,3,3,0.0003
neurotrees,279.968309437,38,0.5656190195564097,0.48568903548680653,1,2,64,stack,mse,4096,500,8,0.0,mse,gpu,3,4,0.0003
neurotrees,1081.75786384,36,0.5640051749824222,0.4863290943237978,1,2,128,stack,mse,4096,500,8,0.0,mse,gpu,3,5,0.0003
neurotrees,946.726644698,46,0.5649685790261778,0.48762555835589283,1,2,128,stack,mse,4096,500,32,0.0,mse,gpu,3,4,0.0003
