model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,12.475639018,307,0.5566453089814024,0.5008080194741784,0,rmse,0.4,8,0,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,9.769412794,303,0.5596222394905748,0.4972024857038939,0,rmse,1.0,6,1,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,12.60645912,419,0.5585921957200404,0.4979941345977218,0,rmse,0.8,6,0,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,12.285588006,402,0.5587281756900323,0.49986096546095826,0,rmse,0.4,6,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,10.277907583,329,0.5593440057392471,0.4987087912966101,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,10.793830528,426,0.5648013206725637,0.49021269250787797,0,rmse,0.6,4,0,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,10.415693561,184,0.5569726798439076,0.5019994956402313,0,rmse,0.4,10,0,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,16.060696231,645,0.5629816589445441,0.49217938690470237,0,rmse,0.4,4,10,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,9.037928052,165,0.5550894765808491,0.5023131124399438,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,11.407227951,294,0.5556998977338969,0.5011362287932218,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,8.344342401,285,0.5595587081571078,0.4979391893858437,0,rmse,1.0,6,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,7.83342964,189,0.5574997760171154,0.4989180370110474,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,8.195520245,221,0.5580396492627852,0.4995193619001627,0,rmse,0.4,8,1,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,17.208847338,669,0.5629183939105004,0.4929438637063312,0,rmse,0.4,4,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,16.203895262,660,0.5621595461822948,0.4945749783009305,0,rmse,0.6,4,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,12.277990965,428,0.558072422342877,0.5002223033959384,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,0.6,5000,5,128
