model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,44.512265665,127,0.5555949647193592,0.49982242828632867,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,2048,128,0.3
lightgbm,22.75100186,163,0.554658526989632,0.5041678587201318,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,512,128,0.3
lightgbm,21.654328673,279,0.5560745204592877,0.5043697604770154,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,128,128,0.9
lightgbm,28.0524294,470,0.5594116842600771,0.49804615348847714,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.6
lightgbm,39.910297166,113,0.5556540825572704,0.5004877475950835,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,2048,128,0.3
lightgbm,26.154465121,522,0.5598380665200754,0.4989875816866794,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,32,128,0.9
lightgbm,38.234645078,123,0.5553305526134232,0.49852117915831096,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,2048,128,0.6
lightgbm,26.331704019,183,0.5543036822759778,0.504742690288274,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,512,128,0.9
lightgbm,22.693603923,281,0.5568768354118294,0.5032158594303378,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,128,128,0.6
lightgbm,22.960530339,486,0.5597568632740597,0.49926002266626773,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.6
lightgbm,21.310331601,155,0.5558943703314017,0.5032803563235483,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,512,128,0.9
lightgbm,22.826368142,167,0.5548322791139928,0.5039342651035712,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,512,128,0.9
lightgbm,23.349238095,490,0.5599367331903617,0.4980294121258293,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,32,128,0.3
lightgbm,22.636670935,167,0.5545952117852601,0.502911146208093,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,512,128,0.6
lightgbm,23.435496724,486,0.5597568632740597,0.49926002266626773,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.3
lightgbm,21.316545939,263,0.5568893576498481,0.5036741459910627,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,128,128,0.6
