model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,5.057476534,310,0.5653050974264181,0.4890320268017264,RMSE,4,0.2,0.5,RMSE,0.3,5000,5,0
catboost,9.329560769,334,0.5641862983474716,0.4911189623355916,RMSE,4,0.2,0.5,RMSE,0.9,5000,5,0
catboost,9.535919954,147,0.5607172398840343,0.4951110979486526,RMSE,8,0.2,0.9,RMSE,0.6,5000,5,0
catboost,6.408178847,126,0.5616562235629631,0.4936630731987666,RMSE,8,0.2,0.5,RMSE,0.6,5000,5,1
catboost,7.828029502,215,0.5611969649182836,0.49259479780736226,RMSE,6,0.2,0.9,RMSE,0.6,5000,5,10
catboost,10.551282616,146,0.558078251667896,0.49586970501712885,RMSE,10,0.2,0.5,RMSE,0.6,5000,5,10
catboost,4.300210201,108,0.5628346050059205,0.4934666600321435,RMSE,8,0.2,0.5,RMSE,0.3,5000,5,0
catboost,4.721149017,224,0.5662652984028458,0.48789436106523554,RMSE,4,0.2,0.5,RMSE,0.6,5000,5,1
catboost,19.453482358,136,0.5594130636253782,0.4985820008335095,RMSE,10,0.2,0.9,RMSE,0.9,5000,5,10
catboost,3.505802515,148,0.565177398480239,0.4912499149124336,RMSE,6,0.2,0.5,RMSE,0.3,5000,5,10
catboost,13.553864952,120,0.5602284576172522,0.49453711929576627,RMSE,10,0.2,0.9,RMSE,0.6,5000,5,0
catboost,5.982047841,245,0.5652633577247276,0.4875905619051713,RMSE,4,0.2,0.9,RMSE,0.6,5000,5,10
catboost,8.469463093,115,0.560880961786563,0.4936832128611562,RMSE,10,0.2,0.5,RMSE,0.6,5000,5,0
catboost,5.531717728,140,0.5647062930945907,0.49100516954196266,RMSE,6,0.2,0.5,RMSE,0.9,5000,5,0
catboost,9.495475804,112,0.5611710331220837,0.49112167799401846,RMSE,10,0.2,0.9,RMSE,0.3,5000,5,0
catboost,4.898317909,168,0.5633514441056946,0.493006484528138,RMSE,6,0.2,0.9,RMSE,0.3,5000,5,10
