model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,24.972878659,127,0.5672514889167152,0.4884178115499113,0,0,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.6,5
evotrees,3.767421736,81,0.5829398119078877,0.4700732312935233,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.8,5
evotrees,2.067126848,80,0.5836446392223097,0.46911915102897367,0,10,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.4,5
evotrees,30.345810949,236,0.5674941396723455,0.49197436876993444,0,10,binary,mse,9,0,1,0.05,0.8,128,5000,mse,1.0,5
evotrees,4.016068219,93,0.5813568238996678,0.47309668492054263,0,1,binary,mse,5,0,1,0.05,0.6,128,5000,mse,1.0,5
evotrees,9.016625563,172,0.571012087831594,0.48711523116482863,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.6,5
evotrees,17.334393836,158,0.5678090843656372,0.4900711049907834,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.6,5
evotrees,31.997807387,287,0.5672969354946954,0.49029542661362097,0,10,binary,mse,9,0,1,0.05,0.6,128,5000,mse,1.0,5
evotrees,17.514677716,143,0.5684291361573857,0.4914402911535285,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.8,5
evotrees,24.30167079,123,0.5661664363195067,0.4937854561906637,0,10,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.6,5
evotrees,27.882714496,174,0.5672564597825634,0.49073585057109936,0,10,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.4,5
evotrees,3.204526522,90,0.5829027747857426,0.47047121234849804,0,0,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.4,5
evotrees,10.241363996,107,0.5698924652214836,0.4907636024049104,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.4,5
evotrees,14.961977484,175,0.5674248877923203,0.4938746189178029,0,10,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.4,5
evotrees,15.471565596,217,0.5710160234578169,0.48807542394101106,0,0,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,5
evotrees,50.531196833,204,0.5667843457889075,0.48893173003363005,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,mse,1.0,5
