model_type,train_time,best_nround,mse,ndcg,boosting_size,stack_size,num_trees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,depth,lr
neurotrees,88.91890404,51,0.5716757312105415,0.4756866706999087,1,2,16,base,mse,4096,500,8,0.0,mse,gpu,2,3,0.0003
neurotrees,140.472291647,71,0.5659991203050546,0.48381704955909594,1,1,64,base,mse,4096,500,16,0.0,mse,gpu,2,3,0.0003
neurotrees,222.681815627,69,0.5640388702499585,0.48370852930213526,1,3,64,base,mse,4096,500,32,0.0,mse,gpu,2,4,0.0003
neurotrees,127.517767169,69,0.5664924622612693,0.4825271467539999,1,1,16,base,mse,4096,500,32,0.0,mse,gpu,2,4,0.0003
neurotrees,118.59919842,70,0.568901189742095,0.4790475171123786,1,3,16,base,mse,4096,500,32,0.0,mse,gpu,2,3,0.0003
neurotrees,214.442373125,55,0.5649392210066193,0.48335505565316916,1,1,32,base,mse,4096,500,32,0.0,mse,gpu,2,5,0.0003
neurotrees,147.108935869,75,0.5663582855710768,0.4817010071796265,1,3,16,base,mse,4096,500,16,0.0,mse,gpu,2,4,0.0003
neurotrees,117.00959023,56,0.568112979496298,0.481051952825351,1,3,64,base,mse,4096,500,16,0.0,mse,gpu,2,3,0.0003
neurotrees,118.258438061,57,0.5680539084156394,0.48153143622762534,1,3,64,base,mse,4096,500,32,0.0,mse,gpu,2,3,0.0003
neurotrees,152.198774219,80,0.5667921754098676,0.4828412086035505,1,2,32,base,mse,4096,500,16,0.0,mse,gpu,2,3,0.0003
neurotrees,93.772020461,43,0.5696482011804356,0.4788160044984795,1,3,32,base,mse,4096,500,32,0.0,mse,gpu,2,4,0.0003
neurotrees,131.705401926,68,0.5666876689567051,0.4841324363842934,1,2,16,base,mse,4096,500,32,0.0,mse,gpu,2,4,0.0003
neurotrees,98.168625723,52,0.5691731163743999,0.47983474541711074,1,3,16,base,mse,4096,500,32,0.0,mse,gpu,2,4,0.0003
neurotrees,201.121015516,52,0.5656399988727848,0.48394301373322557,1,2,32,base,mse,4096,500,32,0.0,mse,gpu,2,5,0.0003
neurotrees,121.741116888,61,0.5669402251675326,0.48249000744476483,1,1,64,base,mse,4096,500,8,0.0,mse,gpu,2,3,0.0003
neurotrees,231.070539809,61,0.5642905251671827,0.48519358523247025,1,3,32,base,mse,4096,500,16,0.0,mse,gpu,2,5,0.0003
