model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,3.596063884,240,0.565605273929122,0.48770971012579784,RMSE,4,0.2,0.5,RMSE,0.3,5000,5,1
catboost,5.421923161,304,0.5646346952656731,0.49032506359187106,RMSE,4,0.2,0.9,RMSE,0.3,5000,5,1
catboost,6.397190844,330,0.5635078604987808,0.49011318755923167,RMSE,4,0.2,0.5,RMSE,0.6,5000,5,1
catboost,8.960929777,302,0.5626089105957678,0.49174012561007113,RMSE,4,0.2,0.9,RMSE,0.9,5000,5,0
catboost,9.148314024,256,0.560341794247216,0.49507081778460854,RMSE,6,0.2,0.5,RMSE,0.9,5000,5,0
catboost,4.284240214,177,0.5669784492451138,0.488199714034429,RMSE,4,0.2,0.9,RMSE,0.6,5000,5,0
catboost,6.564292872,157,0.5609835718059597,0.4935002073080911,RMSE,8,0.2,0.5,RMSE,0.6,5000,5,0
catboost,12.050159585,182,0.5590625288933616,0.49597425199799167,RMSE,10,0.2,0.9,RMSE,0.3,5000,5,10
catboost,3.744852207,251,0.5656325823737806,0.4898419613966041,RMSE,4,0.2,0.5,RMSE,0.3,5000,5,10
catboost,6.20243546,352,0.5635003691624265,0.49264420268112347,RMSE,4,0.2,0.9,RMSE,0.3,5000,5,10
catboost,9.538909036,324,0.5628560001384009,0.4927684912957036,RMSE,4,0.2,0.9,RMSE,0.9,5000,5,10
catboost,7.496480877,232,0.5615249942119344,0.4936312089737761,RMSE,6,0.2,0.9,RMSE,0.6,5000,5,1
catboost,6.522508046,158,0.5615315037206994,0.49433972566439627,RMSE,8,0.2,0.9,RMSE,0.3,5000,5,1
catboost,10.026034039,315,0.5586533543330598,0.496570375066887,RMSE,6,0.2,0.9,RMSE,0.6,5000,5,10
catboost,5.429058559,230,0.5655597935649574,0.4914538161146212,RMSE,4,0.2,0.9,RMSE,0.6,5000,5,10
catboost,5.905106765,334,0.5635537515012599,0.49097014391207633,RMSE,4,0.2,0.9,RMSE,0.3,5000,5,0
