model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,46.506778456,161,0.5550686183489627,0.49995485431248665,0,1,binary,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,5
evotrees,22.267916915,911,0.56012479917125,0.4982520796702889,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,5
evotrees,8.579858373,243,0.5616520483097895,0.4965012817451048,0,0,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.6,5
evotrees,22.531705941,426,0.5582353209843095,0.49977573109792134,0,0,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.8,5
evotrees,35.950302846,167,0.5580403725363152,0.49659305176691526,0,0,binary,mse,11,0,1,0.05,0.4,128,5000,mse,1.0,5
evotrees,29.025302625,484,0.5570277810975023,0.5006383122689049,0,10,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,5
evotrees,30.06386632,520,0.557358214303186,0.5001284483054085,0,10,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,5
evotrees,21.5885187,486,0.558283023315483,0.49795560258689076,0,10,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.8,5
evotrees,11.610254244,653,0.56234740890291,0.4951560977875307,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.6,5
evotrees,16.789124196,435,0.5585225417762169,0.49945534939424074,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,5
evotrees,18.933155133,303,0.5596828229512307,0.49719679761922553,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,5
evotrees,15.632488402,384,0.5648932335974313,0.4900050260977575,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,1.0,5
evotrees,11.835107068,542,0.5631210519729396,0.4922257047752584,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.8,5
evotrees,15.399864982,663,0.5618912273026794,0.4940338277309304,0,10,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.6,5
evotrees,17.147319315,763,0.5614283839822819,0.49623311786246005,0,0,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.6,5
evotrees,14.420555701,367,0.5591369026973879,0.499294217601487,0,1,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,5
