model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,9.846631427,260,0.5556005219176924,0.5045958142795608,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,128,128,0.9
lightgbm,15.220832274,200,0.5549639807273703,0.5031570016313984,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,512,128,0.3
lightgbm,10.304394297,452,0.5594418165299065,0.49819453404341724,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,32,128,0.3
lightgbm,13.257338459,163,0.5534669613235933,0.5081548583260185,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,512,128,0.6
lightgbm,10.847009437,323,0.5551207441917765,0.5046353605493967,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,128,128,0.6
lightgbm,14.949342945,187,0.5531417682465544,0.5037562961552199,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,512,128,0.9
lightgbm,25.056392808,111,0.5541702956122768,0.5015154706063351,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,0,2048,128,0.9
lightgbm,11.13673872,513,0.5589009337065147,0.49926406725774414,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,32,128,0.6
lightgbm,15.404616693,192,0.5527387301912415,0.5059403396144475,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,512,128,0.9
lightgbm,7.527021372,350,0.5601376942529309,0.4975701068494688,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.9
lightgbm,11.027035794,513,0.5589009337065147,0.49926406725774414,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,1,32,128,0.9
lightgbm,12.301239065,354,0.5553579766019345,0.5037060279449337,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,0,128,128,0.9
lightgbm,26.232864735,114,0.5538772343539942,0.5030901519929081,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,2048,128,0.6
lightgbm,7.305033283,350,0.5601376942529309,0.4975701068494688,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,10,32,128,0.6
lightgbm,13.92317337,181,0.5529014533985886,0.5067553866539112,0.5,"[""mse""]",-1,0.05,20,mse,5000,5,1,512,128,0.3
lightgbm,26.698329863,114,0.5538772343539942,0.5030901519929081,0.9,"[""mse""]",-1,0.05,20,mse,5000,5,10,2048,128,0.3
