model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,lr,depth
neurotrees,78.691752995,8,0.5706509567959034,0.4808509150439155,2,128,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,40.938222965,21,0.5682817621275742,0.4832702215395972,1,32,stack,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,92.486791269,7,0.5701424947940826,0.47726690222203333,2,32,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,88.221213756,28,0.5645527005532254,0.4874494742932111,1,256,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,148.365785231,9,0.5688704994781519,0.48044852474942334,2,256,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,462.188470271,20,0.5644795107983663,0.4875537829922824,1,256,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,34.134997237,11,0.5695449752566357,0.48096596808245246,2,32,stack,mse,2048,200,8,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,537.507517896,24,0.5645617604591121,0.4881206238032992,1,256,stack,mse,2048,200,8,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,164.800313306,8,0.570554286370303,0.4783560242742013,2,256,stack,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,556.456613522,7,0.5701764854701801,0.47785027828167287,2,256,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,366.80824215,8,0.5708286732435554,0.47994194866397744,2,256,stack,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,0.001,4
neurotrees,57.420401383,22,0.5663514488741342,0.48632735025031765,1,128,stack,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,0.001,3
neurotrees,77.690384535,21,0.5675510776028269,0.48357530223868755,1,32,stack,mse,2048,200,8,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,78.789605445,8,0.5700964145370601,0.47954229161078066,2,32,stack,mse,2048,200,8,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,228.353447796,18,0.5654932700473451,0.48371637293135417,1,128,stack,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,0.001,5
neurotrees,68.394694002,20,0.5667092118866977,0.48487075422775977,1,64,stack,mse,2048,200,8,0.0,identity,mse,0.0,gpu,2,0.001,4
