model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,12.101246316,207,0.5545442633734952,0.5034209986584969,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,18.503607538,691,0.5623772799361925,0.49486408926030345,0,rmse,0.8,4,10,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,14.343140571,536,0.5627740731949422,0.49129581418227863,0,rmse,1.0,4,0,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,14.325058272,490,0.5579425809015289,0.49868474825702164,0,rmse,1.0,6,10,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,10.914847262,302,0.555932848981987,0.49977799090410385,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,9.243083785,288,0.5599839427497892,0.49718689197183524,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,11.100961567,426,0.5648013206725637,0.49021269250787797,0,rmse,0.6,4,0,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,14.731659202,510,0.5578537595837432,0.5003434804444573,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,11.555281188,227,0.554566285715118,0.5024501562951165,0,rmse,0.4,10,1,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,11.859602581,469,0.5643803616507974,0.49082010711237045,0,rmse,0.6,4,1,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,10.810659051,199,0.5559325994275873,0.4990069341391118,0,rmse,1.0,10,1,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,14.625482193,506,0.5577248914665395,0.5009637999657847,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,9.048653219,230,0.5578175982951302,0.4998718410267894,0,rmse,0.8,8,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,15.054308701,435,0.557854632910196,0.4995524507932083,0,rmse,0.8,6,10,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,10.799397135,286,0.5566066454413562,0.5015103689534184,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,8.208183829,210,0.5572041233673917,0.49989013084722267,0,rmse,0.8,8,0,0.05,reg:squarederror,hist,0.6,5000,5,128
