model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,53.254382354,1237,0.5535292533778696,0.5092741757113816,RMSE,6,0.05,0.5,RMSE,0.9,5000,10,0
catboost,98.84954486,747,0.5496129493544502,0.5128564540536881,RMSE,10,0.05,0.9,RMSE,0.6,5000,10,1
catboost,66.773636896,1089,0.549969735687488,0.5105665178222865,RMSE,8,0.05,0.9,RMSE,0.6,5000,10,0
catboost,53.46067539,1747,0.557585321260498,0.5026645465177946,RMSE,4,0.05,0.5,RMSE,0.9,5000,10,10
catboost,43.21819925,1360,0.5537832232957621,0.508598703312493,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,10
catboost,29.440298888,678,0.5571726804615619,0.5051575830294226,RMSE,6,0.05,0.5,RMSE,0.9,5000,10,1
catboost,30.72457443,907,0.5558417483458865,0.505312410261347,RMSE,6,0.05,0.5,RMSE,0.6,5000,10,10
catboost,96.463378748,1035,0.5486933851859443,0.5124897821630382,RMSE,10,0.05,0.9,RMSE,0.3,5000,10,1
catboost,64.113565781,1040,0.5507745614709005,0.512066267321912,RMSE,8,0.05,0.5,RMSE,0.9,5000,10,0
catboost,70.238612462,1184,0.5502077443746343,0.5128091802318582,RMSE,8,0.05,0.5,RMSE,0.9,5000,10,1
catboost,92.095021704,966,0.5489320387029832,0.5129315975487206,RMSE,10,0.05,0.5,RMSE,0.9,5000,10,10
catboost,72.486755703,1493,0.5530484240536699,0.5084818406562581,RMSE,6,0.05,0.9,RMSE,0.9,5000,10,10
catboost,66.296168446,783,0.5496767760930393,0.5120917691317174,RMSE,10,0.05,0.5,RMSE,0.6,5000,10,1
catboost,48.060795832,1238,0.5534104084788086,0.5086692908710008,RMSE,6,0.05,0.9,RMSE,0.6,5000,10,1
catboost,32.362520504,1718,0.5582497552792626,0.5022310196971045,RMSE,4,0.05,0.5,RMSE,0.3,5000,10,1
catboost,35.116505454,1256,0.5589768109868481,0.5006767282726391,RMSE,4,0.05,0.9,RMSE,0.6,5000,10,0
