model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,67.197214825,671,0.552451974041345,0.5065735470236207,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,48.71922778,861,0.5539759624662581,0.5083476564922939,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,53.270369603,503,0.5545045106439124,0.5055888278262239,0,0,binary,mse,9,0,1,0.05,0.4,128,5000,cred,0.8,10
evotrees,95.509276121,448,0.554200112296561,0.5041975683082115,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,53.811879376,1316,0.5572684456529332,0.5035115765744302,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,cred,1.0,10
evotrees,102.321948896,1042,0.5528874883282688,0.5089237550062314,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,cred,0.8,10
evotrees,47.664765885,959,0.5542019998361847,0.5087154254981356,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,50.573262132,1537,0.5576307046613611,0.5040117598119835,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,101.321790943,629,0.5515405719856947,0.5100664376646963,0,10,binary,mse,9,0,1,0.05,1.0,128,5000,cred,0.8,10
evotrees,64.504823886,671,0.552451974041345,0.5065735470236207,0,10,binary,mse,9,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,122.29496296,729,0.5510638852421926,0.5092224529188725,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,cred,1.0,10
evotrees,47.79132575,861,0.5539759624662581,0.5083476564922939,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,39.590756213,946,0.5541173248614726,0.5075323593770783,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.4,10
evotrees,160.039828453,444,0.5531444324766717,0.504137847132747,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,cred,1.0,10
evotrees,112.263707491,584,0.5532336452120232,0.5073660177061697,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,50.436341917,913,0.5540724741007657,0.5067630619270753,0,10,binary,mse,7,0,1,0.05,0.4,128,5000,cred,0.8,10
