model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,91.787472556,2305,0.5725342976191216,0.4889537120494675,0,10,binary,mse,5,0,1,0.05,0.4,128,6000,credV1A,0.8,10
evotrees,244.799005246,658,0.5613640833947566,0.4925214338141491,0,10,binary,mse,11,0,1,0.05,0.8,128,6000,credV1A,1.0,10
evotrees,110.788606634,958,0.5619615370406393,0.49835695657951223,0,1,binary,mse,9,0,1,0.05,0.6,128,6000,credV1A,0.6,10
evotrees,153.057485859,2433,0.5622816441821428,0.5008228475227354,0,1,binary,mse,7,0,1,0.05,0.6,128,6000,credV1A,0.6,10
evotrees,111.700379795,978,0.5620795957872411,0.49670161698515813,0,1,binary,mse,9,0,1,0.05,0.4,128,6000,credV1A,0.8,10
evotrees,149.220266737,657,0.5612685274851673,0.4965798304481583,0,10,binary,mse,11,0,1,0.05,0.6,128,6000,credV1A,0.6,10
evotrees,151.283100304,5410,0.5680257885259953,0.49423677172039987,0,1,binary,mse,5,0,1,0.05,0.6,128,6000,credV1A,0.4,10
evotrees,392.135014389,2974,0.5639735783072413,0.49390145146422737,0,0,binary,mse,7,0,1,0.05,1.0,128,6000,credV1A,1.0,10
evotrees,118.125002045,2169,0.5638018859017405,0.49863534730487585,0,10,binary,mse,7,0,1,0.05,0.8,128,6000,credV1A,0.4,10
evotrees,147.686956954,3057,0.5724904999940886,0.4886329275548551,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV1A,0.6,10
evotrees,188.609153671,826,0.5670987139137015,0.4902038813106958,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,credV1A,1.0,10
evotrees,155.717353609,1139,0.5604461039671084,0.4989806076386966,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,credV1A,0.8,10
evotrees,259.463694031,1360,0.560229693707863,0.4986180130121517,0,10,binary,mse,9,0,1,0.05,0.8,128,6000,credV1A,1.0,10
evotrees,149.690430301,2433,0.5622816441821428,0.5008228475227354,0,10,binary,mse,7,0,1,0.05,0.6,128,6000,credV1A,0.6,10
evotrees,146.984717325,2433,0.5622816441821428,0.5008228475227354,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,credV1A,0.6,10
evotrees,214.461511323,499,0.5690605584304008,0.4813157268289803,0,0,binary,mse,11,0,1,0.05,1.0,128,6000,credV1A,1.0,10
