model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,115.593082425,567,0.5534300693843427,0.5014266668300164,0,1,binary,mse,11,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,122.939673268,1345,0.5587382924775134,0.5011325914749878,0,0,binary,mse,5,0,1,0.05,1.0,128,6000,credV2B,1.0,10
evotrees,61.122347,1140,0.5533920355516295,0.5095117562576748,0,10,binary,mse,7,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,49.614238059,1001,0.560165992610178,0.4998188243579898,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,0.6,10
evotrees,70.045972305,1397,0.5578885199326065,0.5028361222255738,0,10,binary,mse,5,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,59.613993444,1003,0.5534498918591854,0.5091603745271202,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,credV2B,0.6,10
evotrees,125.874442688,1190,0.5524975431297136,0.5088749233900347,0,10,binary,mse,7,0,1,0.05,1.0,128,6000,credV2B,0.8,10
evotrees,113.621300246,666,0.5518644274120961,0.5090925574109465,0,1,binary,mse,9,0,1,0.05,1.0,128,6000,credV2B,0.8,10
evotrees,34.217415687,1584,0.5581490561547924,0.5035522039130322,0,1,binary,mse,5,0,1,0.05,0.4,128,6000,credV2B,0.4,10
evotrees,62.260302314,1725,0.557403280888023,0.5044771396808391,0,1,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,83.781616947,660,0.5522559239700047,0.508422723523733,0,1,binary,mse,9,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,61.311852132,829,0.55372134405844,0.5081222903890324,0,1,binary,mse,7,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,77.282349357,1094,0.5590150301540905,0.49999355872009343,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,1.0,10
evotrees,28.201509584,797,0.5561269328425187,0.505103251719161,0,1,binary,mse,7,0,1,0.05,0.4,128,6000,credV2B,0.4,10
evotrees,92.958729993,869,0.5535141606784468,0.509149380796018,0,1,binary,mse,7,0,1,0.05,0.8,128,6000,credV2B,1.0,10
evotrees,66.500688025,1397,0.5578885199326065,0.5028361222255738,0,0,binary,mse,5,0,1,0.05,0.6,128,6000,credV2B,0.8,10
