model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,40.993281428,868,0.5542019452261542,0.5074618335987122,0,1,binary,mse,7,0,1,0.05,0.8,128,6000,cred_std,0.4,10
evotrees,45.65069123,1344,0.5583470382423515,0.5011219183762926,0,10,binary,mse,5,0,1,0.05,0.8,128,6000,cred_std,0.4,10
evotrees,56.253841224,1166,0.5586030957464541,0.501639703927558,0,0,binary,mse,5,0,1,0.05,0.6,128,6000,cred_std,0.8,10
evotrees,40.994175256,1050,0.5537996208839682,0.5077765614577316,0,10,binary,mse,7,0,1,0.05,0.6,128,6000,cred_std,0.4,10
evotrees,86.758511597,856,0.5536447675881669,0.5053374431926344,0,0,binary,mse,7,0,1,0.05,1.0,128,6000,cred_std,0.8,10
evotrees,85.957936354,573,0.5522317055465411,0.5079093499949248,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,cred_std,0.8,10
evotrees,99.156115774,1403,0.558386438056251,0.5017997289307156,0,1,binary,mse,5,0,1,0.05,1.0,128,6000,cred_std,0.8,10
evotrees,69.098006197,1296,0.5577109580496346,0.5035050102664631,0,1,binary,mse,5,0,1,0.05,0.6,128,6000,cred_std,1.0,10
evotrees,46.051729259,471,0.5547080202478608,0.5044252727696079,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,cred_std,0.8,10
evotrees,52.184056859,1049,0.5531632139665379,0.5082904922563839,0,1,binary,mse,7,0,1,0.05,0.6,128,6000,cred_std,0.6,10
evotrees,56.590349796,1345,0.5581826298756957,0.5022542121175609,0,100,binary,mse,5,0,1,0.05,0.8,128,6000,cred_std,0.6,10
evotrees,115.314418483,1453,0.5580768008263326,0.5009501762664206,0,1,binary,mse,5,0,1,0.05,1.0,128,6000,cred_std,1.0,10
evotrees,62.433684596,805,0.5535910639590075,0.5065061540236004,0,10,binary,mse,7,0,1,0.05,0.8,128,6000,cred_std,0.8,10
evotrees,39.953959216,1585,0.5575226576017075,0.5045727155218407,0,1,binary,mse,5,0,1,0.05,0.6,128,6000,cred_std,0.4,10
evotrees,81.956572691,1607,0.5568285770750866,0.5043701710519491,0,100,binary,mse,5,0,1,0.05,0.6,128,6000,cred_std,1.0,10
evotrees,108.579471155,565,0.5517954440297854,0.5081262774151637,0,100,binary,mse,11,0,1,0.05,0.8,128,6000,cred_std,0.8,10
