model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,27.633114842,515,0.5564017948498122,0.505351438676335,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,23.304334246,619,0.5588247478611988,0.5013389066121852,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,39.21776153,882,0.5552056859186737,0.5068892411216136,0,100,binary,mse,9,0,1,0.05,0.4,128,6000,cred_var,0.6,10
evotrees,34.500780771,390,0.5540706383766342,0.5076746935819072,0,10,binary,mse,11,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,32.84044158,1033,0.5623151204629412,0.49634143656685215,0,10,binary,mse,5,0,1,0.05,0.4,128,6000,cred_var,1.0,10
evotrees,40.227123544,586,0.5583561138472236,0.5018467708972408,0,1,binary,mse,7,0,1,0.05,1.0,128,6000,cred_var,0.8,10
evotrees,22.122916348,664,0.5584119325297127,0.5038543309099592,0,0,binary,mse,7,0,1,0.05,0.8,128,6000,cred_var,0.4,10
evotrees,23.871158252,962,0.5618861134166122,0.49800102475685365,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,cred_var,0.4,10
evotrees,44.399962788,526,0.5549325743080268,0.5051792636479753,0,10,binary,mse,9,0,1,0.05,1.0,128,6000,cred_var,0.8,10
evotrees,33.155830289,662,0.5548275711467476,0.5091327808230126,0,10,binary,mse,9,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,44.776546967,523,0.5558732696623642,0.505356271252178,0,1,binary,mse,9,0,1,0.05,0.8,128,6000,cred_var,1.0,10
evotrees,29.112762259,1087,0.5569835206938814,0.5034826364108086,0,100,binary,mse,7,0,1,0.05,0.6,128,6000,cred_var,0.4,10
evotrees,34.542110683,839,0.5575946582187928,0.5026364062299296,0,100,binary,mse,7,0,1,0.05,0.4,128,6000,cred_var,1.0,10
evotrees,96.875024093,779,0.5512277420929796,0.5092715042679015,0,100,binary,mse,11,0,1,0.05,1.0,128,6000,cred_var,0.8,10
evotrees,49.540330044,663,0.5520109337842506,0.5115332272807006,0,100,binary,mse,11,0,1,0.05,0.8,128,6000,cred_var,0.4,10
evotrees,23.477458101,832,0.5584002679939176,0.5033684116075408,0,100,binary,mse,7,0,1,0.05,0.4,128,6000,cred_var,0.6,10
