model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,45.321544975,335,0.5509903990265281,0.5092086132233077,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,36.813081929,493,0.5536863072894643,0.5061908578543702,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,27.233799104,237,0.5539665228439764,0.5051266730012279,0,100,binary,mse,9,0,1,0.05,0.4,128,6000,mae,0.6,10
evotrees,44.475559532,165,0.5523453027141533,0.5041899213366021,0,10,binary,mse,11,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,35.807196208,694,0.5600950208212225,0.4954293705975353,0,10,binary,mse,5,0,1,0.05,0.4,128,6000,mae,1.0,10
evotrees,66.32131265,513,0.5532933802958492,0.5067108880277027,0,1,binary,mse,7,0,1,0.05,1.0,128,6000,mae,0.8,10
evotrees,38.10655464,613,0.5536087949679421,0.508814805867964,0,0,binary,mse,7,0,1,0.05,0.8,128,6000,mae,0.4,10
evotrees,39.400412718,987,0.5586645029518851,0.49722060186055606,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,mae,0.4,10
evotrees,84.21509819,372,0.550601052244404,0.5076449218110669,0,10,binary,mse,9,0,1,0.05,1.0,128,6000,mae,0.8,10
evotrees,40.881881415,300,0.5512184517650628,0.5105071701536579,0,10,binary,mse,9,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,83.335290963,323,0.5505311956725059,0.5062974973847839,0,1,binary,mse,9,0,1,0.05,0.8,128,6000,mae,1.0,10
evotrees,29.578441698,551,0.554674313473742,0.5053818037512811,0,100,binary,mse,7,0,1,0.05,0.6,128,6000,mae,0.4,10
evotrees,43.241675439,440,0.5545597614953719,0.5044927624168282,0,100,binary,mse,7,0,1,0.05,0.4,128,6000,mae,1.0,10
evotrees,125.720985403,319,0.5494909099100694,0.5100775099147951,0,100,binary,mse,11,0,1,0.05,1.0,128,6000,mae,0.8,10
evotrees,63.844986487,339,0.5501945390071403,0.5089129820134698,0,100,binary,mse,11,0,1,0.05,0.8,128,6000,mae,0.4,10
evotrees,39.856848089,667,0.5537587473365561,0.5052900646182678,0,100,binary,mse,7,0,1,0.05,0.4,128,6000,mae,0.6,10
