model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,63.689402073,1124,0.5549895117436762,0.5067348034565665,0,0,oblivious,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,50.325341061,1326,0.555030274353735,0.5075985465814795,0,0,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,62.576082082,1083,0.5555280184876922,0.5053151334572464,0,0,oblivious,mse,9,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,126.880686889,1404,0.5538379857575574,0.5084311647121758,0,10,oblivious,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,35.752856619,1349,0.5578065067029223,0.5019647827664845,0,10,oblivious,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,67.749615973,1085,0.5558098557756085,0.5054693922176678,0,1,oblivious,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,57.377815931,1638,0.5540462055735973,0.5079958921010271,0,1,oblivious,mse,7,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,37.710043333,1708,0.5576822287526824,0.5043913623790489,0,1,oblivious,mse,5,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,118.526067805,1410,0.5534928134565862,0.5084229364363398,0,10,oblivious,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,74.775851099,1247,0.5544066344657191,0.5073770077534943,0,10,oblivious,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,108.601734039,1277,0.5540834005235394,0.5078188086275898,0,1,oblivious,mse,9,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,52.466527713,1323,0.5548087218334328,0.5074694620068706,0,1,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,43.838679489,1366,0.5548884964752012,0.5078257951957221,0,1,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,156.605516396,1197,0.5545073666283304,0.5079647989757605,0,0,oblivious,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,88.125747647,994,0.556171241593681,0.505635563924801,0,10,oblivious,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,48.586511171,1280,0.5547309372953942,0.5060252868959264,0,10,oblivious,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,10
