model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,47.588459194,1102,0.5539503279941578,0.509035372214665,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,38.052334064,1412,0.558463628879909,0.5026890729589976,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,43.530804423,1292,0.558704870588843,0.5028317187299255,0,0,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,28.831088469,679,0.5567240386453487,0.5084061999916084,0,10,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,63.938873279,868,0.5541843975704592,0.5087156138095156,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,103.761671015,705,0.5515783127878695,0.5099354704380943,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,71.609822783,1626,0.5572572485893619,0.5029480588145533,0,10,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,55.815401032,1396,0.558312938884905,0.5029470547237658,0,10,binary,mse,5,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,87.286047906,693,0.5529489108377739,0.5087190590245567,0,1,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,46.445486991,912,0.5549452886213752,0.5060159331471212,0,10,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,53.446303344,1338,0.5584929723150498,0.5032411856270875,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.8,10
evotrees,25.074219414,691,0.5577786985259643,0.5067208030614678,0,0,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,66.738346332,851,0.554711825602961,0.5069023388146208,0,0,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,39.824621752,1394,0.5588421573593025,0.5018362872908677,0,1,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,23.651140719,1223,0.5601645061379281,0.5000675893198049,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,180.176960084,537,0.5503862259273782,0.5117295749717728,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.8,10
