model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,26.499658666,1059,0.556425913091876,0.5019160684695443,0,0,binary,mse,5,0,1,0.05,0.8,64,5000,mse,0.6,10
evotrees,8.195700446,419,0.555102809453916,0.5061113298930091,0,10,binary,mse,7,0,1,0.05,0.4,64,5000,mse,0.4,10
evotrees,15.93272229,383,0.5506189200228037,0.5103479679878021,0,0,binary,mse,9,0,1,0.05,0.8,64,5000,mse,0.4,10
evotrees,23.429088782,504,0.552581081817354,0.506728559582555,0,1,binary,mse,7,0,1,0.05,0.6,64,5000,mse,1.0,10
evotrees,15.09885119,476,0.5535860452573854,0.5072762330642251,0,1,binary,mse,7,0,1,0.05,0.6,64,5000,mse,0.6,10
evotrees,21.079247597,696,0.5524287542022065,0.508543677206303,0,0,binary,mse,7,0,1,0.05,0.6,64,5000,mse,0.6,10
evotrees,16.92991223,240,0.5502136955317805,0.5077006443043507,0,0,binary,mse,11,0,1,0.05,0.8,64,5000,mse,0.4,10
evotrees,25.163107567,1100,0.5566681571131368,0.5029313536231196,0,10,binary,mse,5,0,1,0.05,1.0,64,5000,mse,0.4,10
evotrees,26.040610373,706,0.5587471427228294,0.49906723767977573,0,1,binary,mse,5,0,1,0.05,1.0,64,5000,mse,0.8,10
evotrees,36.524665871,997,0.5569331693827325,0.5011337671225718,0,1,binary,mse,5,0,1,0.05,0.8,64,5000,mse,1.0,10
evotrees,32.488374585,609,0.5522383850929097,0.5085663106819568,0,1,binary,mse,7,0,1,0.05,0.8,64,5000,mse,1.0,10
evotrees,23.82741996,381,0.550454626048353,0.511105425130461,0,10,binary,mse,9,0,1,0.05,1.0,64,5000,mse,0.6,10
evotrees,20.7755598,375,0.550496016482525,0.5125645173862285,0,0,binary,mse,9,0,1,0.05,0.8,64,5000,mse,0.6,10
evotrees,20.625491234,241,0.551449207878065,0.5041926379240591,0,10,binary,mse,11,0,1,0.05,0.4,64,5000,mse,0.8,10
evotrees,33.488553673,662,0.5526032855817954,0.5060839062793548,0,10,binary,mse,7,0,1,0.05,1.0,64,5000,mse,0.8,10
evotrees,25.248242786,308,0.5510842670934369,0.5088749551829134,0,1,binary,mse,9,0,1,0.05,1.0,64,5000,mse,0.8,10
