model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,lr,depth
neurotrees,64.863480104,7,0.5810706775680522,0.45907102037110487,1,32,mse,2048,200,32,0.0,identity,mse,1,gpu,2,1,0.0003,5
neurotrees,64.774930243,20,0.5766421612866391,0.4663181742002603,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,2,2,0.0003,3
neurotrees,52.577299746,16,0.5769465192855487,0.46285837971716737,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,2,3,0.0003,4
neurotrees,31.417981428,11,0.5809041860032891,0.45421439334654007,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,2,4,0.0003,3
neurotrees,109.623581964,10,0.5798092661296075,0.46035476573528344,1,256,mse,2048,200,8,0.0,identity,mse,1,gpu,2,5,0.0003,4
neurotrees,27.351459217,14,0.5774256084765527,0.4620637346270875,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,2,6,0.0003,3
neurotrees,522.321244515,20,0.5735870173831901,0.46648395146345023,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,2,7,0.0003,5
neurotrees,47.264808984,13,0.5778236429673023,0.46294319545637386,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,2,8,0.0003,3
neurotrees,62.285250618,17,0.5732438988138749,0.466728498457136,1,32,mse,2048,200,8,0.0,identity,mse,1,gpu,2,9,0.0003,5
neurotrees,123.887465272,17,0.5746577506046996,0.4646154608365792,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,2,10,0.0003,5
neurotrees,26.43010029,13,0.5767758008208638,0.4625074472279566,1,32,mse,2048,200,64,0.0,identity,mse,1,gpu,2,11,0.0003,4
neurotrees,429.339637575,16,0.5770841983583702,0.46519423562731943,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,2,12,0.0003,5
neurotrees,145.664888328,14,0.57767666600176,0.46117265660356793,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,2,13,0.0003,4
neurotrees,85.087372493,24,0.5731334937717462,0.47378036721455646,1,32,mse,2048,200,16,0.0,identity,mse,1,gpu,2,14,0.0003,5
neurotrees,70.335550061,12,0.5769322413901253,0.4617811229247694,1,128,mse,2048,200,8,0.0,identity,mse,1,gpu,2,15,0.0003,4
neurotrees,200.390268745,14,0.5747449644304232,0.46271586400874537,1,128,mse,2048,200,64,0.0,identity,mse,1,gpu,2,16,0.0003,5
